,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
75,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.125,,58.0,53.0,0,1,4.0,45.0,1.0,20181017123734.0,21077.0,0.625,1.2
76,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.11764705882352941,,58.0,53.0,0,1,4.0,37.0,1.0,20181017123742.0,21077.0,0.625,1.2
77,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.11764705882352941,,58.0,53.0,0,1,4.0,34.0,0.0,20181017123745.0,21077.0,0.625,1.2
78,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.08333333333333333,,58.0,53.0,0,1,4.0,34.0,0.0,20181017123748.0,21077.0,0.625,1.2
79,44.0,5.0,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.08333333333333333,,58.0,53.0,0,1,4.0,34.0,0.0,20181017123750.0,11081.0,0.625,1.2
80,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.08333333333333333,,58.0,53.0,0,1,4.0,34.0,0.0,20181017123947.0,11077.0,0.625,1.2
81,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.08333333333333333,,58.0,53.0,0,1,4.0,34.0,0.0,20181017123947.0,11077.0,0.625,1.2
82,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.08333333333333333,,58.0,53.0,0,1,4.0,17.0,0.0,20181017124003.0,11077.0,0.625,1.2
83,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.07142857142857142,,58.0,53.0,0,1,4.0,8.0,0.0,20181017124012.0,11077.0,0.625,1.2
84,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.07142857142857142,,58.0,53.0,0,1,4.0,7.0,0.0,20181017124014.0,11077.0,0.625,1.2
85,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.07142857142857142,,58.0,53.0,0,1,4.0,7.0,0.0,20181017124016.0,11086.0,0.625,1.2
86,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.07142857142857142,,58.0,53.0,0,1,4.0,7.0,0.0,20181017124018.0,11086.0,0.625,1.2
87,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.11764705882352941,,58.0,53.0,0,1,4.0,7.0,0.0,20181017124018.0,11086.0,0.625,1.2
88,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,15.0,0.11764705882352941,,58.0,53.0,0,1,4.0,7.0,1.0,20181017124041.0,21077.0,0.625,1.2
89,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.1111111111111111,,58.0,53.0,0,1,3.0,58.0,1.0,20181017124050.0,21077.0,0.625,1.2
90,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,13.0,0.1111111111111111,,58.0,53.0,0,1,3.0,50.0,1.0,20181017124059.0,21077.0,0.625,1.2
91,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.1111111111111111,,58.0,53.0,0,1,3.0,48.0,0.0,20181017124100.0,21077.0,0.625,1.2
92,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.1111111111111111,,58.0,53.0,0,1,3.0,48.0,0.0,20181017124105.0,11086.0,0.625,1.2
93,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.1111111111111111,,58.0,53.0,0,1,3.0,48.0,0.0,20181017124106.0,11086.0,0.625,1.2
94,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.7692307692307693,130.5,0.9090909090909091,13.0,0.14285714285714285,1:2,58.0,53.0,0,1,3.0,48.0,0.0,20181017124113.0,21078.0,0.625,1.2
