,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S2,S2_a,S3,S3_a,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
98,,,,64.5,0.8,-64.5,0.87,134.5,0.83,134.5,0.83,-64.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,1.0,1,3.0,41.0,0.0,20180721013051.0,11086.0
99,,,,63.5,1.0,-63.5,0.87,134.5,0.83,134.5,0.83,63.5,,1.0,7,33.0,31,4.0,2,5,,4,50.0,50.0,91.0,91,30.0,0.0,1,3.0,41.0,0.0,20180721013051.0,11086.0
100,,,,63.5,1.0,-63.5,0.71,134.5,0.83,134.5,0.83,-63.5,1:2,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,31.0,0.0,1,3.0,41.0,0.0,20180721013101.0,21078.0
101,,,,63.5,0.87,-63.5,0.8,134.5,0.83,134.5,0.83,-63.5,1:2^2:2,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,31.0,0.0,1,3.0,41.0,0.0,20180721013101.0,21079^21078
102,,,,63.5,0.87,-63.5,0.8,134.5,0.83,134.5,0.83,-63.5,1:2^2:2,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,32.0,0.0,1,3.0,41.0,0.0,20180721013116.0,21079^21078
103,,,,62.5,0.8,-62.5,0.8,134.5,0.83,134.5,0.83,62.5,2:2,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,32.0,0.0,1,3.0,41.0,0.0,20180721013116.0,21079.0
104,,,,62.5,0.8,-62.5,0.87,134.5,0.83,134.5,0.83,-62.5,2:2,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,32.0,1.0,1,3.0,41.0,0.0,20180721013116.0,21079.0
105,,,,62.5,0.8,-62.5,0.87,134.5,0.83,134.5,0.83,-62.5,2:2,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,32.0,1.0,1,3.0,41.0,1.0,20180721013119.0,21079.0
106,,,,63.5,0.8,-63.5,0.87,134.5,0.83,134.5,0.83,63.5,2:2,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,32.0,1.0,1,3.0,41.0,1.0,20180721013119.0,21079.0
107,,,,63.5,0.8,-63.5,0.87,134.5,0.83,134.5,0.83,-63.5,,1.0,7,33.0,31,4.0,2,5,5.0,4,50.0,50.0,91.0,91,32.0,1.0,1,3.0,40.0,1.0,20180721013120.0,11077.0
