,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
72,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,^,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,1.0,1,6.0,15.0,1.0,20180721013305.0,11075^21077,0.0,0.0
73,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,^,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,1.0,1,6.0,15.0,1.0,20180721013305.0,11075^21077,0.0,0.0
74,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,^,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,1.0,1,6.0,15.0,1.0,20180721013305.0,11075^21077,0.0,0.0
75,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,^,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,1.0,1,6.0,15.0,1.0,20180721013305.0,11075^21077,0.0,0.0
76,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,1.0,1,6.0,15.0,1.0,20180721013305.0,21077.0,0.0,0.0
77,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,15.0,1.0,20180721013305.0,21077.0,0.0,0.0
78,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,15.0,1.0,20180721013305.0,21077.0,0.0,0.0
79,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,15.0,1.0,20180721013305.0,21077.0,0.0,0.0
80,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,14.0,1.0,20180721013306.0,21077.0,0.0,0.0
81,,,,4.5,0.83,-4.5,0.83,146.5,0.77,146.5,0.91,146.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,14.0,1.0,20180721013306.0,21077.0,0.0,0.0
82,,,,4.5,0.83,-4.5,0.83,145.5,0.83,146.5,0.83,145.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,56.0,0.0,1,6.0,6.0,1.0,20180721013315.0,21077.0,0.0,0.0
83,,,,4.5,0.83,-4.5,0.83,145.5,0.83,145.5,0.83,145.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,0.0,1,6.0,6.0,1.0,20180721013315.0,21077.0,0.0,0.0
84,,,,3.5,0.83,-4.5,0.83,147.5,0.77,145.5,0.83,147.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,0.0,1,6.0,0.0,1.0,20180721013319.0,21077.0,0.0,0.0
85,,,,3.5,0.91,-4.5,0.83,147.5,0.77,145.5,0.91,3.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,0.0,1,6.0,0.0,1.0,20180721013319.0,21077.0,0.0,0.0
86,,,,3.5,0.91,-3.5,0.83,147.5,0.77,147.5,0.91,147.5,,,7.0,4.0,18.0,18.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,0.0,1,6.0,0.0,1.0,20180721013319.0,21077.0,0.0,0.0
87,,,,3.5,0.91,-3.5,0.77,147.5,0.77,147.5,0.91,-3.5,^,,7.0,4.0,18.0,19.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,0.0,1,6.0,0.0,1.0,20180721013319.0,21074^11077,0.0,0.0
88,,,,3.5,0.91,-3.5,0.77,147.5,0.77,147.5,0.91,-3.5,,,7.0,4.0,18.0,19.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,0.0,1,5.0,53.0,0.0,20180721013326.0,11077.0,0.0,0.0
89,,,,3.5,0.91,-3.5,0.77,147.5,0.77,147.5,0.91,-3.5,,,7.0,4.0,18.0,19.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,0.0,1,5.0,53.0,0.0,20180721013326.0,11077.0,0.0,0.0
90,,,,3.5,0.91,-3.5,0.77,147.5,0.77,147.5,0.91,-3.5,,,7.0,4.0,18.0,19.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,1.0,1,5.0,53.0,0.0,20180721013342.0,11077.0,0.0,0.0
91,,,,3.5,0.91,-3.5,0.77,147.5,0.77,147.5,0.91,-3.5,,,7.0,4.0,18.0,19.0,5.0,8.0,5.0,4.0,0.0,0.0,100.0,88.9,62.0,58.0,1.0,1,5.0,53.0,0.0,20180721013342.0,11077.0,0.0,0.0
92,,,,3.5,0.91,-3.5,0.77,147.5,0.77,147.5,0.91,-3.5,^,,7.0,4.0,18.0,19.0,5.0,8.0,5.0,4.0,0.0,1.0,100.0,88.9,62.0,58.0,1.0,1,5.0,53.0,0.0,20180721013342.0,21086^11077,0.0,0.0
93,,,,3.5,0.91,-3.5,0.77,147.5,0.77,147.5,0.91,-3.5,^,,7.0,4.0,18.0,19.0,5.0,8.0,5.0,4.0,0.0,1.0,100.0,88.9,62.0,58.0,1.0,1,5.0,53.0,0.0,20180721013342.0,21086^11077,0.0,0.0
