,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,KC,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
57,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,6.0,11.0,1.0,20180925140642.0,21077.0,0.3125,2.3
58,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,6.0,1.0,1.0,20180925140642.0,11077.0,0.3125,2.3
59,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,5.0,53.0,1.0,20180925140658.0,11077.0,0.3125,2.3
60,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,127.5,0.8333333333333334,127.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0,,1,5.0,48.0,1.0,20180925140705.0,21077.0,0.30303030303030304,2.4
61,,,,1.0,-8.5,0.8695652173913043,8.5,0.8,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,43.0,1.0,20180925140709.0,21074.0,0.23529411764705882,2.85
62,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,42.0,1.0,20180925140710.0,11077.0,0.23529411764705882,2.85
63,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,33.0,1.0,20180925140718.0,11077.0,0.23529411764705882,2.85
64,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,25.0,1.0,20180925140727.0,11077.0,0.23529411764705882,2.85
65,,,,1.0,-8.5,0.8695652173913043,8.5,0.8,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,22.0,1.0,20180925140730.0,21077.0,0.23529411764705882,2.85
66,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,127.5,0.8333333333333334,127.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,14.0,1.0,20180925140738.0,11077.0,0.23529411764705882,2.85
67,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,127.5,0.8333333333333334,127.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,13.0,1.0,20180925140739.0,11077.0,0.23529411764705882,2.85
68,,,,1.0,-7.5,0.8,7.5,0.8695652173913043,127.5,0.8,127.5,0.8695652173913043,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,0,,1,5.0,5.0,1.0,20180925140747.0,11077.0,0.23529411764705882,2.85
69,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,5.0,1.0,1.0,20180925140752.0,11074.0,0.3125,2.3
70,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,129.5,0.8,129.5,0.8695652173913043,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,58.0,1.0,20180925140754.0,21077.0,0.30303030303030304,2.4
71,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,49.0,1.0,20180925140803.0,21077.0,0.30303030303030304,2.4
72,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,41.0,1.0,20180925140811.0,21077.0,0.30303030303030304,2.4
73,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,37.0,0.0,20180925140815.0,21077.0,0.30303030303030304,2.4
74,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,37.0,1.0,20180925140844.0,21077.0,0.30303030303030304,2.4
75,,,,1.0,-6.5,0.8695652173913043,6.5,0.8,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,32.0,1.0,20180925140849.0,11077.0,0.3125,2.3
76,,,,1.0,-6.5,0.8695652173913043,6.5,0.8,126.5,0.8333333333333334,126.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,23.0,1.0,20180925140858.0,11077.0,0.3125,2.3
77,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,126.5,0.8333333333333334,126.5,0.8333333333333334,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,18.0,1.0,20180925140903.0,21077.0,0.30303030303030304,2.4
78,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,125.5,0.8695652173913043,125.5,0.8,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,14.0,0.0,20180925140907.0,21077.0,0.30303030303030304,2.4
79,,,,1.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,126.5,0.8,126.5,0.8695652173913043,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,0,,1,4.0,16.0,0.0,20180925140924.0,21077.0,0.30303030303030304,2.4
