,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
99,,,,第1节,-28.5,0.8,28.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,41.0,0,,21077.0,
100,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,41.0,0,,11077.0,
101,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,33.0,0,,11077.0,
102,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,33.0,0,,11077.0,
103,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11077.0,
104,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,21086.0,
105,,,,第1节,-28.5,0.83,28.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11077.0,
106,,,,第1节,-28.5,0.83,27.5,0.83,151.5,0.83,151.5,0.83,27.5,1.0,9231132.0,1:2,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,
107,,,,第1节,-27.5,0.83,27.5,0.83,151.5,0.83,152.5,0.83,-27.5,1.0,9231132.0,1:2,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,
108,,,,第1节,-27.5,0.83,27.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,1:2,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,
109,,,,第1节,-27.5,0.83,27.5,0.83,152.5,0.83,153.5,0.83,152.5,1.0,9231132.0,1:2,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,
110,,,,第1节,-27.5,0.83,27.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,9231132.0,1:2,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11078.0,
111,,,,第1节,-27.5,0.83,27.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,9231132.0,1:2,,,,,,,,,,,,,,11.0,6.0,0.0,1,5.0,GD,28.0,0,,11079.0,
112,,,,第1节,-27.5,0.83,27.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,9231132.0,2:2,,,,,,,,,,,,,,11.0,7.0,0.0,1,5.0,GD,28.0,0,,11078.0,
113,,,,第1节,-27.5,0.83,27.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,9231132.0,2:2,,,,,,,,,,,,,,11.0,7.0,0.0,1,5.0,GD,28.0,0,,11079.0,
114,,,,第1节,-27.5,0.83,27.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,8.0,0.0,1,5.0,GD,28.0,0,,21077.0,
115,,,,第1节,-27.5,0.87,27.5,0.8,153.5,0.83,153.5,0.83,153.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,8.0,0.0,1,5.0,GD,11.0,0,,21077.0,
116,,,,第1节,-27.5,0.8,26.5,0.87,153.5,0.83,153.5,0.83,26.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,8.0,0.0,1,5.0,GD,11.0,0,,21077.0,
117,,,,第1节,-26.5,0.8,26.5,0.87,153.5,0.83,152.5,0.83,-26.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,8.0,0.0,1,5.0,GD,11.0,0,,21077.0,
118,,,,第1节,-26.5,0.8,26.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,8.0,0.0,1,5.0,GD,11.0,0,,21077.0,
119,,,,第1节,-26.5,0.8,26.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,9231132.0,,,,,,,,,,,,,,,11.0,8.0,0.0,1,5.0,GD,7.0,0,,21077.0,
