,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
52,,3.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,39.0,1.0,20181019140951.0,21077.0,0.004,17.0
53,,3.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,38.0,0.0,20181019140952.0,21077.0,0.004,17.0
54,,3.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,2.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,38.0,1.0,20181019141016.0,21077.0,0.004,17.0
55,,3.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,^,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,31.0,0.0,20181019141023.0,11086^21077,0.004,17.0
56,,3.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,^,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,31.0,1.0,20181019141025.0,11086^21077,0.004,17.0
57,,3.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,160.5,0.8695652173913043,160.5,0.8,3.0,,^,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,29.0,0.0,20181019141027.0,11086^21077,0.004,17.0
58,,3.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,160.5,0.8695652173913043,160.5,0.8,3.0,,,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,29.0,1.0,20181019141045.0,11077.0,0.004,17.0
59,,3.0,-27.5,0.8333333333333334,27.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,,,7.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,38.0,62.0,0,1,5.0,21.0,1.0,20181019141053.0,11077.0,0.004,17.0
60,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,162.5,0.8333333333333334,162.5,0.8333333333333334,3.0,,^,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,41.0,62.0,0,1,5.0,15.0,1.0,20181019141058.0,11075^21077,0.004,17.0
61,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,161.5,0.8333333333333334,161.5,0.8333333333333334,3.0,,^,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,41.0,62.0,0,1,5.0,7.0,1.0,20181019141106.0,11075^21077,0.004,17.0
62,,3.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,161.5,0.8333333333333334,161.5,0.8333333333333334,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,41.0,62.0,0,1,5.0,1.0,1.0,20181019141112.0,11077.0,0.004,17.0
63,,3.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,161.5,0.8,161.5,0.8695652173913043,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,0.0,41.7,93.8,41.0,62.0,0,1,4.0,58.0,0.0,20181019141115.0,11077.0,0.004,17.0
64,,3.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,161.5,0.8,161.5,0.8695652173913043,3.0,,^,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,58.0,1.0,20181019141141.0,21086^11077,0.004,17.0
65,,3.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,3.0,,^,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,50.0,1.0,20181019141149.0,21086^11077,0.004,17.0
66,,3.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,160.5,0.8,160.5,0.8695652173913043,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,47.0,1.0,20181019141152.0,21077.0,0.004,17.0
67,,3.0,-25.5,0.8695652173913043,25.5,0.8,159.5,0.8333333333333334,159.5,0.8333333333333334,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,39.0,1.0,20181019141200.0,21077.0,0.004,17.0
68,,3.0,-25.5,0.8695652173913043,25.5,0.8,159.5,0.8,159.5,0.8695652173913043,3.0,,,,8.0,5.0,6.0,16.0,5.0,15.0,5,5,3.0,1.0,41.7,93.8,41.0,62.0,0,1,4.0,31.0,1.0,20181019141209.0,21077.0,0.004,17.0
