,AM,AS,CB,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,MS,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,VI,WA_ODD,WH_ODD
504,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.9090909090909091,-3.5,0.7692307692307693,189.5,0.8695652173913043,188.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,1:2,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,2.0,100.0,58.8,76.0,76.0,0,1,7.0,42.0,0.0,20181028155318.0,11078.0,1.0,1.25,0.5714285714285714
505,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,1:2,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,2.0,100.0,58.8,76.0,76.0,0,1,7.0,42.0,0.0,20181028155419.0,11078.0,1.0,1.25,0.5714285714285714
506,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,1:2,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,7.0,42.0,0.0,20181028155419.0,11078.0,1.0,1.25,0.5714285714285714
507,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,3.5,0.8333333333333334,-3.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,1:2,0.0,1.0,10.0,11.0,17.0,18.0,12.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,76.0,76.0,0,1,7.0,42.0,0.0,20181028155422.0,11078.0,1.0,1.25,0.5714285714285714
508,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.7692307692307693,-2.5,0.9090909090909091,190.5,0.7692307692307693,190.5,0.9090909090909091,1.0,17.0,3.0,10540588.0,1:2^2:2,0.0,1.0,10.0,11.0,17.0,18.0,13.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,77.0,79.0,0,1,7.0,42.0,0.0,20181028155501.0,11079^11078,1.0,1.3,0.5555555555555556
509,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,190.5,0.8333333333333334,190.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,2:2^,0.0,1.0,10.0,11.0,17.0,18.0,14.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,78.0,79.0,0,1,7.0,42.0,0.0,20181028155516.0,11079^21077,1.0,1.5,0.5
510,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,190.5,0.8333333333333334,190.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,2:2^,0.0,1.0,10.0,11.0,17.0,18.0,14.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,78.0,79.0,0,1,7.0,42.0,1.0,20181028155532.0,11079^21077,1.0,1.5,0.5
511,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,190.5,0.8333333333333334,190.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,2:2^,0.0,1.0,10.0,11.0,17.0,18.0,14.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,78.0,79.0,0,1,7.0,42.0,1.0,20181028155540.0,11079^21077,1.0,1.5,0.5
512,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,190.5,0.8333333333333334,190.5,0.8333333333333334,1.0,17.0,3.0,10540588.0,2:2^,0.0,1.0,10.0,11.0,17.0,18.0,14.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,78.0,79.0,0,1,7.0,26.0,1.0,20181028155548.0,21077.0,1.0,1.5,0.5
513,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,2.5,0.8333333333333334,-2.5,0.8333333333333334,188.5,0.8695652173913043,188.5,0.8,1.0,17.0,3.0,10540588.0,2:2^,0.0,1.0,10.0,11.0,17.0,18.0,14.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,78.0,79.0,0,1,7.0,17.0,1.0,20181028155557.0,21077.0,1.0,1.5,0.5
514,44.0,5.0,TRUMUSVI,Q3,1.0,3rd Quarter,1.5,0.8333333333333334,-1.5,0.8333333333333334,190.5,0.8695652173913043,190.5,0.8,1.0,17.0,3.0,10540588.0,2:2^,0.0,1.0,10.0,11.0,17.0,19.0,14.0,10.0,1.0,3.0,5.0,1.0,100.0,58.8,78.0,81.0,0,1,7.0,17.0,1.0,20181028155557.0,11077.0,1.0,1.25,0.5714285714285714
