,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
124,,,,第1节,-1.5,0.8,-2.5,0.87,132.5,0.83,132.5,0.83,-2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
125,,,,第1节,2.5,0.8,-2.5,0.83,132.5,0.83,132.5,0.83,2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
126,,,,第1节,2.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,-3.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
127,,,,第1节,3.5,0.87,-3.5,0.8,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
128,,,,第1节,3.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
129,,,,第1节,3.5,0.87,-3.5,0.8,132.5,0.83,132.5,0.83,3.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
130,,,,第1节,3.5,0.83,-4.5,0.83,132.5,0.83,132.5,0.83,-4.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
131,,,,第1节,4.5,0.77,-4.5,0.91,132.5,0.83,132.5,0.83,4.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
132,,,,第1节,4.5,0.87,-1.5,0.8,132.5,0.83,132.5,0.83,-1.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
133,,,,第1节,1.5,0.87,-1.5,0.83,132.5,0.83,132.5,0.83,1.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
134,,,,第1节,1.5,0.83,-2.5,0.83,132.5,0.83,132.5,0.83,-2.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
