,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
86,44.0,5.0,,第2节,13.5,0.83,-13.5,0.83,126.5,0.83,126.5,0.83,13.5,,0.0,,26.0,35.0,0.0,1,0.0,12.0,0,,11077.0,0.0,0.0,
87,44.0,5.0,,第2节,13.5,0.8,-12.5,0.87,126.5,0.83,126.5,0.83,-12.5,,0.0,,26.0,35.0,0.0,1,0.0,12.0,0,,11077.0,0.0,0.0,
88,44.0,5.0,,第2节,12.5,0.8,-12.5,0.87,126.5,0.83,129.5,0.83,12.5,,0.0,,26.0,35.0,0.0,1,0.0,12.0,0,,11077.0,0.0,0.0,
89,44.0,5.0,,第2节,12.5,0.8,-12.5,0.87,129.5,0.83,129.5,0.83,129.5,,0.0,,26.0,35.0,0.0,1,0.0,12.0,0,,11077.0,0.0,0.0,
90,44.0,5.0,,第2节,12.5,0.8,-12.5,0.87,129.5,0.83,129.5,0.83,129.5,,0.0,,26.0,35.0,0.0,1,0.0,12.0,0,,11077.0,0.0,0.0,
91,44.0,5.0,,第2节,12.5,0.8,-12.5,0.87,129.5,0.83,129.5,0.83,129.5,,0.0,,26.0,35.0,0.0,1,0.0,11.0,0,,11077.0,0.0,0.0,
92,44.0,5.0,,第2节,12.5,0.8,-12.5,0.87,129.5,0.83,129.5,0.83,129.5,,0.0,,26.0,35.0,0.0,1,0.0,11.0,0,,11081.0,0.0,0.0,
93,44.0,5.0,,第2节,12.5,0.8,-12.5,0.87,129.5,0.83,129.5,0.83,129.5,,0.0,,26.0,35.0,0.0,1,0.0,0.0,0,,21077.0,0.0,0.0,
94,44.0,5.0,,第2节,12.5,0.83,-11.5,0.83,129.5,0.83,129.5,0.83,-11.5,,0.0,,26.0,35.0,0.0,1,0.0,0.0,0,,21077.0,0.0,0.0,
95,44.0,5.0,,第2节,11.5,0.83,-11.5,0.83,129.5,0.83,128.5,0.83,11.5,,0.0,,26.0,35.0,0.0,1,0.0,0.0,0,,21077.0,0.0,0.0,
96,44.0,5.0,,第2节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,26.0,35.0,0.0,1,0.0,0.0,0,,21077.0,0.0,0.0,
97,44.0,5.0,,第2节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,26.0,35.0,0.0,1,0.0,0.0,0,,21077.0,0.0,0.0,
98,44.0,5.0,,第2节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,26.0,35.0,0.0,1,0.0,0.0,0,,1083.0,0.0,0.0,
99,44.0,5.0,,第2节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,0.0,0.0,0,,1083.0,0.0,0.0,
100,44.0,5.0,,第3节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,0.0,0.0,0,,1083.0,0.0,0.0,
101,44.0,5.0,,第3节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,0.0,0.0,0,,1083.0,0.0,0.0,
102,44.0,5.0,第3节,第3节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,0.0,0.0,0,,1083.0,0.0,0.0,
103,44.0,5.0,第3节,第3节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
104,44.0,5.0,第3节,第3节,11.5,0.83,-11.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
105,44.0,5.0,第3节,第3节,11.5,0.83,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
106,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
107,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
108,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
109,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
110,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
111,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
112,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
113,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
114,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
115,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
116,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
117,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
118,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
119,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
120,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
121,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
122,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
123,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
124,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
125,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
126,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
127,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,1.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
128,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
129,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
130,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
131,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
132,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,,0.0,1.0,26.0,35.0,0.0,1,10.0,0.0,0,,1083.0,0.0,0.0,
133,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,3.0,0.0,,26.0,35.0,0.0,1,10.0,0.0,0,,1089.0,0.0,0.0,
134,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,128.5,0.83,128.5,0.83,128.5,3.0,0.0,,26.0,35.0,0.0,1,9.0,49.0,0,,11077.0,0.0,0.0,
135,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,127.5,0.83,127.5,0.83,127.5,3.0,0.0,,26.0,35.0,0.0,1,9.0,49.0,0,,21077.0,0.0,0.0,
136,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,127.5,0.83,127.5,0.83,127.5,3.0,0.0,,26.0,35.0,0.0,1,9.0,49.0,0,,21094.0,0.0,0.0,"0.31,0.37"
137,44.0,5.0,第3节,第3节,11.5,0.87,-11.5,0.8,126.5,0.83,126.5,0.83,126.5,3.0,0.0,,26.0,35.0,0.0,1,9.0,49.0,0,,11077.0,0.0,0.0,
