,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
59,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,104.5,1.0,104.5,0.7142857142857143,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,35.0,0.0,20181108151645.0,01090^11077,0.3125,2.3
60,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,104.5,1.0,104.5,0.7142857142857143,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,35.0,1.0,20181108151704.0,01090^11077,0.3125,2.3
61,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,104.5,0.8333333333333334,104.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,26.0,1.0,20181108151712.0,01090^11077,0.3125,2.3
62,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,104.5,0.7142857142857143,104.5,1.0,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,18.0,1.0,20181108151720.0,01090^11077,0.30303030303030304,2.4
63,Q4,4th Quarter,-4.5,0.9090909090909091,4.5,0.7692307692307693,103.5,0.8333333333333334,103.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,10.0,1.0,20181108151729.0,01090^11077,0.30303030303030304,2.4
64,Q4,4th Quarter,-4.5,0.8695652173913043,4.5,0.8,103.5,0.8333333333333334,103.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,8.0,2.0,1.0,20181108151737.0,01090^11077,0.30303030303030304,2.4
65,Q4,4th Quarter,-4.5,0.8695652173913043,4.5,0.8,102.5,0.8333333333333334,102.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,57.0,0.0,20181108151742.0,01090^11077,0.2857142857142857,2.5
66,Q4,4th Quarter,-4.5,0.8695652173913043,4.5,0.8,102.5,0.8333333333333334,102.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,57.0,1.0,20181108151759.0,01090^11077,0.2857142857142857,2.5
67,Q4,4th Quarter,-4.5,0.8695652173913043,4.5,0.8,102.5,0.8333333333333334,102.5,0.8333333333333334,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,49.0,1.0,20181108151808.0,01090^11077,0.2857142857142857,2.5
68,Q4,4th Quarter,-4.5,0.8695652173913043,4.5,0.8,101.5,1.0,101.5,0.7142857142857143,,4.0,^,2.0,4.0,8.0,12.0,13.0,7.0,5,5,0,0,92.9,77.8,35.0,43,0,1,7.0,40.0,1.0,20181108151816.0,01090^11077,0.2857142857142857,2.5
