,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
79,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,46.0,0,,11077.0,
80,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,46.0,0,,11094.0,"0.68,0.66"
81,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,29.0,0,,21077.0,
82,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,29.0,0,,21077.0,
83,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,13.0,0.0,1,7.0,GD,23.0,0,,11077.0,
84,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,15.0,13.0,0.0,1,7.0,GD,23.0,0,,11074.0,"0.86,0.57"
85,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,7.0,GD,23.0,0,,21077.0,
86,44.0,5.0,,第1节,68.5,0.83,-69.5,0.83,144.5,0.83,144.5,0.83,-69.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,7.0,GD,23.0,0,,21077.0,
87,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,144.5,0.83,146.5,0.83,69.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,7.0,GD,23.0,0,,21077.0,
88,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,146.5,0.83,146.5,0.83,146.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,7.0,GD,23.0,0,,21077.0,
89,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,146.5,0.83,146.5,0.83,146.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,57.0,0,,21077.0,
90,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,57.0,0,,11077.0,
91,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,57.0,0,,11094.0,"0.87,0.94"
92,44.0,5.0,,第1节,69.5,0.83,-69.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,38.0,0,,21077.0,
93,44.0,5.0,,第1节,69.5,0.83,-68.5,0.83,144.5,0.83,144.5,0.83,-68.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,38.0,0,,21077.0,
94,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,144.5,0.83,143.5,0.87,68.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,38.0,0,,21077.0,
95,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,143.5,0.8,143.5,0.87,143.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,38.0,0,,21077.0,
96,44.0,5.0,,第1节,68.5,0.83,-68.5,0.83,143.5,0.8,143.5,0.87,143.5,1.0,,0.0,0.0,7.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,100.0,0.0,0.0,15.0,0.0,1,6.0,GD,38.0,0,,21077.0,
