,AM,AS,ED,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
115,,,,1.0,2:2^,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,23.0,0.0,20181108170339.0,11079^21077
116,,,,1.0,2:2^,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,23.0,1.0,20181108170346.0,11079^21077
117,,,,1.0,2:2^,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,22.0,1.0,20181108170346.0,11079^21077
118,,,,1.0,,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,23.0,1.0,20181108170346.0,21077.0
119,,,,1.0,,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,16.0,1.0,20181108170350.0,21077.0
120,,,,1.0,,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,13.0,1.0,20181108170352.0,11077.0
121,,,,1.0,,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,12.0,1.0,20181108170353.0,11077.0
122,,,,1.0,,1.0,4.0,3,1,21.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,71,67,0,1,0.0,10.0,1.0,20181108170355.0,11077.0
123,,,,1.0,^,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,5.0,1.0,20181108170359.0,11074^21077
124,,,,1.0,,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,3.0,1.0,20181108170401.0,21077.0
125,,,,1.0,,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,0.0,0.0,20181108170405.0,21077.0
126,,,,1.0,,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,0.0,0.0,20181108170418.0,21077.0
127,,,,1.0,,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,9.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,0.0,0.0,20181108170423.0,21077.0
128,,,,1.0,^,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,5.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,0.0,0.0,20181108170428.0,11086^21077
129,,,,1.0,1:2,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,5.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,0.0,0.0,20181108170433.0,21078.0
130,,,,2.0,1:2,1.0,4.0,3,1,22.0,19,17,16.0,11,21,1.0,4,2,5.0,2,4,57.1,55.0,77.8,73,67,0,1,0.0,1.0,0.0,20181108170442.0,21078.0
131,,,,2.0,1:2^2:2,1.0,4.0,3,1,22.0,19,17,25.0,11,21,1.0,4,2,5.0,2,4,78.1,55.0,77.8,73,68,0,1,0.0,1.0,0.0,20181108170456.0,21079^21078
132,,,,2.0,2:2^,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,1.0,0.0,20181108170509.0,21079^11077
133,,,,2.0,2:2^,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170517.0,21079^11077
134,,,,1.0,2:2^,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170518.0,21079^11077
135,,,,1.0,,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170519.0,11077.0
136,,,,1.0,,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170523.0,11077.0
137,,,,1.0,,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170547.0,11077.0
138,,,,1.0,,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170547.0,1084.0
139,,,,1.0,,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170551.0,1084.0
140,,,,1.0,,1.0,4.0,3,1,22.0,19,17,26.0,11,21,1.0,4,2,5.0,2,4,78.8,55.0,77.8,73,69,0,1,0.0,0.0,0.0,20181108170551.0,1084.0
