,AM,AS,CU,DC,ED,MD,PG,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,UC,VC
69,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,18.0,11.0,18.0,0,1,1.0,22.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,21077.0
70,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,18.0,11.0,18.0,0,1,1.0,22.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
71,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,18.0,11.0,18.0,0,1,0.0,46.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
72,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,18.0,11.0,18.0,0,1,0.0,46.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
73,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,18.0,11.0,18.0,0,1,0.0,40.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
74,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,19.0,11.0,19.0,0,1,0.0,40.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
75,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,19.0,11.0,19.0,0,1,0.0,40.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
76,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,19.0,11.0,19.0,0,1,0.0,34.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
77,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,19.0,11.0,19.0,0,1,0.0,34.0,1.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
78,44.0,5.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,0.0,,4.0,,0.0,3.0,0.0,6.0,0.0,0.0,19.0,11.0,19.0,0,1,0.0,18.0,0.0,19000101000000.0,At end of 3rd Quarter Enisey-pro 3x3 0-0 Akhmat-pro 3x3,11077.0
