,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
86,,上半场,4.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
87,,上半场,4.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,1.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
88,,上半场,4.5,0.91,-4.5,0.83,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,1.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
89,,上半场,4.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
90,,上半场,4.5,0.91,-4.5,0.83,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
91,,上半场,4.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,1,18.0,GD,0.0,1.0,,21077.0,1.35,0.61
92,,上半场,4.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,1,18.0,GD,0.0,1.0,,21074.0,1.35,0.61
93,,上半场,4.5,0.87,-4.5,0.87,118.5,0.91,118.5,0.83,4.5,1.0,,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
94,,上半场,4.5,0.87,-3.5,0.87,118.5,0.91,118.5,0.83,-3.5,1.0,,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,1.35,0.61
95,,上半场,3.5,0.83,-3.5,0.91,118.5,0.91,118.5,0.83,3.5,1.0,,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,1,18.0,GD,0.0,1.0,,11077.0,0.0,0.0
