,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
55,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,19.0,1.0,20180519004349.0,11077.0,0.0,0.0
56,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,19.0,1.0,20180519004350.0,11077.0,0.0,0.0
57,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,19.0,1.0,20180519004350.0,11077.0,0.0,0.0
58,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,8.0,1.0,20180519004400.0,11077.0,0.0,0.0
59,,,,第1节,17.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,17.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,8.0,1.0,20180519004400.0,11075.0,0.0,0.0
60,,,,第1节,-19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,-19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,GD,8.0,1.0,20180519004400.0,21077.0,0.0,0.0
61,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,8.0,GD,2.0,1.0,20180519004405.0,21077.0,0.0,0.0
62,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,8.0,GD,2.0,1.0,20180519004405.0,21077.0,0.0,0.0
63,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,8.0,GD,1.0,1.0,20180519004407.0,21077.0,0.0,0.0
64,,,,第1节,19.5,13.5,0.83,-13.5,0.83,151.5,0.83,151.5,0.83,19.5,1.0,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,8.0,GD,1.0,1.0,20180519004407.0,11077.0,0.0,0.0
