,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
47,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,0.0,20180721120222.0,11086.0,,1.25,0.0
48,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,0.0,20180721120222.0,11086.0,,1.25,0.0
49,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,1.0,20180721120233.0,11086.0,,1.25,0.0
50,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,153.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,22.0,1.0,20180721120233.0,11086.0,,1.25,0.0
51,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721120242.0,11086.0,,1.25,0.0
52,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721120242.0,11086.0,,1.25,0.0
53,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180721120246.0,11086.0,,1.25,0.0
54,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180721120246.0,11086.0,,1.25,0.0
55,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180721120248.0,11086.0,,1.25,0.0
56,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180721120248.0,11086.0,,1.25,0.0
57,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,12.0,0.0,20180721120251.0,11086.0,,1.25,0.0
58,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,12.0,0.0,20180721120251.0,11086.0,,1.25,0.0
59,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,12.0,1.0,20180721120254.0,11086.0,,1.25,0.0
60,,,,,,8.5,0.83,-8.5,0.83,151.5,0.83,152.5,0.83,151.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,12.0,1.0,20180721120254.0,11086.0,,1.25,0.0
61,,,,,,8.5,0.83,-8.5,0.83,151.5,0.83,151.5,0.83,151.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,4.0,1.0,20180721120302.0,11086.0,,1.25,0.0
62,,,,,,8.5,0.83,-8.5,0.83,151.5,0.83,151.5,0.83,151.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,8.0,1~GD,4.0,1.0,20180721120302.0,11086.0,,1.25,0.0
63,,,,,,8.5,0.83,-8.5,0.83,151.5,0.83,151.5,0.83,151.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,7.0,1~GD,56.0,1.0,20180721120311.0,11086.0,,1.25,0.0
64,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,151.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,1,7.0,1~GD,56.0,1.0,20180721120311.0,11086.0,,1.25,0.0
65,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,153.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,50.0,1.0,20180721120315.0,11086.0,,1.25,0.0
66,,,,,,10.5,0.83,-10.5,0.83,153.5,0.83,153.5,0.83,10.5,,,0.0,,0.0,,1.0,2.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,50.0,1.0,20180721120315.0,11086.0,,1.25,0.0
67,,,,,,10.5,0.83,-10.5,0.83,153.5,0.8,153.5,0.87,-10.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,48.0,1.0,20180721120318.0,11074.0,,1.25,0.0
68,,,,,,10.5,0.83,-10.5,0.83,152.5,0.83,153.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,48.0,1.0,20180721120318.0,21077.0,,1.25,0.0
69,,,,,,10.5,0.83,-10.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,40.0,1.0,20180721120326.0,21077.0,,1.25,0.0
70,,,,,,10.5,0.83,-10.5,0.83,151.5,0.83,152.5,0.83,151.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,40.0,1.0,20180721120326.0,21077.0,,1.25,0.0
71,,,,,,10.5,0.83,-10.5,0.83,151.5,0.83,151.5,0.83,151.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,32.0,1.0,20180721120334.0,21077.0,,1.25,0.0
72,,,,,,10.5,0.83,-10.5,0.83,153.5,0.87,151.5,0.83,153.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,1,7.0,1~GD,32.0,1.0,20180721120334.0,21077.0,,1.25,0.0
73,,,,,,10.5,0.83,-10.5,0.83,153.5,0.87,153.5,0.8,153.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,27.0,1.0,20180721120338.0,21077.0,,1.25,0.0
74,,,,,,8.5,0.83,-8.5,0.83,153.5,0.87,153.5,0.8,8.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,27.0,1.0,20180721120338.0,21077.0,,1.25,0.0
75,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.8,-8.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,27.0,1.0,20180721120338.0,21074.0,,1.25,0.0
76,,,,,,8.5,0.83,-8.5,0.83,153.5,0.83,153.5,0.83,-8.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,25.0,1.0,20180721120341.0,21074.0,,1.25,0.0
77,,,,,,8.5,0.87,-8.5,0.8,153.5,0.83,153.5,0.83,-8.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,25.0,1.0,20180721120341.0,11077.0,,1.25,0.0
78,,,,,,8.5,0.87,-8.5,0.8,153.5,0.83,153.5,0.83,-8.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,17.0,1.0,20180721120349.0,11077.0,,1.25,0.0
79,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,153.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,17.0,1.0,20180721120349.0,11077.0,,1.25,0.0
80,,,,,,8.5,0.83,-8.5,0.83,152.5,0.83,152.5,0.83,152.5,,,0.0,,0.0,,1.0,3.0,0.0,5.0,1.0,0.0,9.0,9.0,2.0,0.0,0.0,1,7.0,1~GD,9.0,1.0,20180721120357.0,11077.0,,1.25,0.0
