,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
79,,第1节,3.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,-2.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,37.0,0,,11077.0,0.0,0.0,
80,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,164.5,0.83,2.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,37.0,0,,11077.0,0.0,0.0,
81,,第1节,2.5,0.83,-2.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,37.0,0,,11077.0,0.0,0.0,
82,,第1节,2.5,0.83,-2.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,28.0,0,,11077.0,1.2,0.63,
83,,第1节,2.5,0.83,-2.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,28.0,0,,21086.0,1.2,0.63,
84,,第1节,2.5,0.83,-2.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,28.0,0,,11077.0,1.2,0.63,
85,,第1节,2.5,0.83,-2.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,28.0,0,,11095.0,1.2,0.63,"0.88,0.38"
86,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,28.0,0,,21077.0,1.2,0.63,
87,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,12.0,0,,21077.0,1.2,0.63,
88,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,12.0,0,,21077.0,1.2,0.63,
89,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,4.0,0,,21077.0,1.2,0.63,
90,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,4.0,0,,11086.0,1.2,0.63,
91,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,4.0,0,,21077.0,1.2,0.63,
92,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,4.0,0,,21094.0,1.2,0.63,"0.27,0.76"
93,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,1.0,0,,11077.0,1.2,0.63,
94,,第1节,2.5,0.83,-2.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,1.0,0,,11094.0,1.2,0.63,"0.66,0.46"
95,,第1节,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,,,1.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,1.0,2.0,100.0,0.0,6.0,8.0,0.0,1,7.0,GD,1.0,0,,21077.0,1.2,0.63,
