,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
58,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,7.0,^,,11.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,122,107,0,1,2.0,34.0,1.0,20181026020450.0,11075^21077,17.0,0.004
59,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,7.0,,,11.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,122,107,0,1,2.0,34.0,1.0,20181026020451.0,21077.0,17.0,0.004
60,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,7.0,,,11.0,11.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,122,107,0,1,2.0,25.0,1.0,20181026020459.0,21077.0,17.0,0.004
61,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,8.0,^,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,122,110,0,1,2.0,20.0,1.0,20181026020505.0,21075^11077,17.0,0.004
62,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,8.0,,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,122,110,0,1,2.0,16.0,0.0,20181026020508.0,11077.0,17.0,0.004
63,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,9.0,^,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,122,110,0,1,2.0,16.0,0.0,20181026020509.0,11086^21077,17.0,0.004
64,4.0,10.5,0.8333333333333334,-10.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,9.0,,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,83.3,122,110,0,1,2.0,16.0,0.0,20181026020509.0,21077.0,17.0,0.004
65,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,8.0,1:1^,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,80.0,122,110,0,1,2.0,16.0,1.0,20181026020529.0,21080^11077,17.0,0.004
66,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,240.5,0.7142857142857143,240.5,1.0,8.0,1:1^,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,80.0,122,110,0,1,2.0,16.0,1.0,20181026020530.0,21080^11077,17.0,0.004
67,4.0,11.5,0.8695652173913043,-11.5,0.8,240.5,0.7142857142857143,240.5,1.0,8.0,,,11.0,12.0,37.0,29.0,14.0,15.0,2,2,4,3.0,77.8,80.0,122,110,0,1,2.0,7.0,1.0,20181026020535.0,11077.0,17.0,0.004
