,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
83,,,,,-8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-8.5,,0.0,^,3.0,5.0,0.0,0.0,1,8.0,1~GD,26.0,1.0,20180518140449.0,11074^21077,,0.0,0.0
84,,,,,-8.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-8.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,26.0,1.0,20180518140449.0,21077.0,,0.0,0.0
85,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,18.0,1.0,20180518140457.0,21077.0,,0.0,0.0
86,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,18.0,1.0,20180518140457.0,21077.0,,0.0,0.0
87,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,18.0,1.0,20180518140457.0,21077.0,,0.0,0.0
88,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180518140505.0,21077.0,,0.0,0.0
89,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180518140505.0,21077.0,,0.0,0.0
90,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180518140506.0,21077.0,,0.0,0.0
91,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180518140506.0,21077.0,,0.0,0.0
92,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180518140506.0,21077.0,,0.0,0.0
93,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,^,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180518140507.0,21086^11077,,0.0,0.0
94,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,0.0,20180518140507.0,11077.0,,0.0,0.0
95,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,1.0,20180518140524.0,11077.0,,0.0,0.0
96,,,,,171.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,171.5,,0.83,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,1.0,20180518140524.0,11077.0,,0.0,0.0
97,,,,,171.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,171.5,,0.0,,3.0,5.0,0.0,0.0,1,8.0,1~GD,10.0,1.0,20180518140524.0,11077.0,,0.0,0.0
98,,,,,171.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,171.5,,0.0,,3.0,7.0,0.0,0.0,1,8.0,1~GD,2.0,1.0,20180518140531.0,11077.0,,0.0,0.0
99,,,,,9.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,9.5,,0.0,,3.0,7.0,0.0,0.0,1,8.0,1~GD,2.0,1.0,20180518140531.0,11077.0,,0.0,0.0
100,,,,,-9.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,-9.5,,0.0,^,3.0,7.0,0.0,0.0,1,8.0,1~GD,2.0,1.0,20180518140532.0,11074^21077,,0.0,0.0
101,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,,3.0,7.0,0.0,0.0,1,8.0,1~GD,2.0,1.0,20180518140532.0,21077.0,,0.0,0.0
102,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,54.0,1.0,20180518140540.0,21077.0,,0.0,0.0
103,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.8,,3.0,7.0,0.0,0.0,1,7.0,1~GD,54.0,1.0,20180518140540.0,21077.0,,0.0,0.0
104,,,,,170.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,170.5,,0.87,,3.0,7.0,0.0,0.0,1,7.0,1~GD,46.0,1.0,20180518140548.0,21077.0,,0.0,0.0
105,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,46.0,1.0,20180518140548.0,21077.0,,0.0,0.0
106,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,44.0,0.0,20180518140549.0,21077.0,,0.0,0.0
107,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,44.0,0.0,20180518140549.0,21077.0,,0.0,0.0
108,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,44.0,1.0,20180518140603.0,21077.0,,0.0,0.0
109,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,44.0,1.0,20180518140603.0,21077.0,,0.0,0.0
110,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180518140606.0,21077.0,,0.0,0.0
111,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180518140606.0,21077.0,,0.0,0.0
112,,,,,169.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,169.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,38.0,1.0,20180518140609.0,21077.0,,0.0,0.0
113,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,38.0,1.0,20180518140609.0,11077.0,,0.0,0.0
114,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,31.0,1.0,20180518140616.0,11077.0,,0.0,0.0
115,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,31.0,1.0,20180518140616.0,11094.0,,0.0,0.0
116,,,,,168.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,168.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,31.0,1.0,20180518140617.0,11094.0,,0.0,0.0
117,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.87,,3.0,7.0,0.0,0.0,1,7.0,1~GD,31.0,1.0,20180518140617.0,21077.0,,0.0,0.0
118,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.8,,3.0,7.0,0.0,0.0,1,7.0,1~GD,23.0,1.0,20180518140624.0,21077.0,,0.0,0.0
119,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,23.0,1.0,20180518140624.0,21095.0,,0.0,0.0
120,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,23.0,1.0,20180518140624.0,11077.0,,0.0,0.0
121,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,19.0,1.0,20180518140628.0,11077.0,,0.0,0.0
122,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.83,,3.0,7.0,0.0,0.0,1,7.0,1~GD,19.0,1.0,20180518140628.0,11077.0,,0.0,0.0
123,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,19.0,1.0,20180518140628.0,11077.0,,0.0,0.0
124,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.0,,3.0,7.0,0.0,0.0,1,7.0,1~GD,19.0,1.0,20180518140628.0,21077.0,,0.0,0.0
125,,,,,167.5,7.5,0.0,-7.5,0.0,169.5,0.83,169.5,0.83,167.5,,0.8,,3.0,7.0,0.0,0.0,1,7.0,1~GD,19.0,1.0,20180518140628.0,21077.0,,0.0,0.0
