,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KI,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
81,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
82,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,16.0,0,,11077.0,0.66,1.1
83,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,7.0,0,,11077.0,0.66,1.1
84,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,7.0,0,,21077.0,0.66,1.1
85,,,,第1节,138.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,138.5,1.0,1.0,0.87,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,7.0,GD,7.0,0,,21077.0,0.66,1.1
86,,,,第1节,138.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,138.5,1.0,1.0,0.87,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,21077.0,0.66,1.1
87,,,,第1节,138.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,138.5,1.0,1.0,0.77,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,11077.0,0.66,1.1
88,,,,第1节,137.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,137.5,1.0,1.0,0.91,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,11077.0,0.66,1.1
89,,,,第1节,137.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,137.5,1.0,1.0,0.83,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,11077.0,0.66,1.1
90,,,,第1节,137.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,137.5,1.0,1.0,0.83,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,11074.0,0.66,1.1
91,,,,第1节,-1.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,-1.5,1.0,1.0,0.83,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,11074.0,0.66,1.1
92,,,,第1节,1.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,1.5,1.0,1.0,0.83,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,11074.0,0.66,1.1
93,,,,第1节,138.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,138.5,1.0,1.0,0.83,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,1,6.0,GD,51.0,0,,11074.0,0.66,1.1
94,,,,第1节,138.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,138.5,1.0,1.0,0.83,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,32.0,0,,21077.0,0.66,1.1
95,,,,第1节,138.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,138.5,1.0,1.0,0.71,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,32.0,0,,21077.0,0.66,1.1
96,,,,第1节,138.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,138.5,1.0,1.0,1.0,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,30.0,0,,21077.0,0.66,1.1
97,,,,第1节,137.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,137.5,1.0,1.0,1.0,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,30.0,0,,21077.0,0.66,1.1
98,,,,第1节,137.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,137.5,1.0,1.0,1.0,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,23.0,0,,21077.0,0.66,1.1
99,,,,第1节,-3.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,-3.5,1.0,1.0,0.87,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,23.0,0,,11077.0,0.66,1.1
100,,,,第1节,3.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,3.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,23.0,0,,11077.0,0.66,1.1
101,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,23.0,0,,11077.0,0.66,1.1
102,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,18.0,0,,11077.0,0.66,1.1
103,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,1,6.0,GD,18.0,0,,11074.0,0.66,1.1
104,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,0.8,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,8.0,0.0,1,6.0,GD,18.0,0,,21077.0,0.66,1.1
105,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,0.0,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,8.0,0.0,1,6.0,GD,18.0,0,,21077.0,0.66,1.1
106,,,,第1节,140.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,140.5,1.0,1.0,1.25,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,8.0,0.0,1,6.0,GD,16.0,0,,21077.0,0.66,1.1
107,,,,第1节,139.5,-2.5,0.83,2.5,0.83,143.5,0.83,143.5,0.83,139.5,1.0,1.0,1.25,,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,8.0,0.0,1,6.0,GD,16.0,0,,21077.0,0.66,1.1
