,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
56,,,3.0,5.5,0.8695652173913043,-5.5,0.8695652173913043,234.5,0.8695652173913043,234.5,0.8695652173913043,76.0,4.0,3.0,0.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,94.0,83.0,0,1,12.0,0.0,0.0,20181113022020.0,1082.0,2.6,0.29411764705882354
57,,,3.0,5.5,0.8695652173913043,-5.5,0.8695652173913043,234.5,0.8695652173913043,234.5,0.8695652173913043,64.0,4.0,^,0.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,94.0,83.0,0,1,12.0,0.0,1.0,20181113022021.0,01090^21077,2.6,0.29411764705882354
58,,,3.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,233.5,0.9090909090909091,233.5,0.8333333333333334,64.0,4.0,^,0.0,6.0,11.0,35.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,94.0,83.0,0,1,11.0,50.0,1.0,20181113022030.0,01090^21077,2.6,0.29411764705882354
59,,,3.0,7.5,0.9090909090909091,-7.5,0.8333333333333334,235.5,0.8,235.5,0.9523809523809523,64.0,4.0,^,0.0,6.0,11.0,36.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,83.0,0,1,11.0,42.0,1.0,20181113022038.0,11074^21077,2.6,0.29411764705882354
60,,,3.0,7.5,0.9090909090909091,-7.5,0.8333333333333334,235.5,0.8,235.5,0.9523809523809523,64.0,4.0,,0.0,6.0,11.0,36.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,83.0,0,1,11.0,42.0,1.0,20181113022040.0,21077.0,2.6,0.29411764705882354
61,,,3.0,7.5,0.9090909090909091,-7.5,0.8333333333333334,234.5,0.9523809523809523,234.5,0.8,64.0,4.0,,0.0,6.0,11.0,36.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,83.0,0,1,11.0,40.0,1.0,20181113022041.0,21077.0,2.6,0.29411764705882354
62,,,3.0,7.5,0.9090909090909091,-7.5,0.8333333333333334,234.5,0.8695652173913043,234.5,0.8695652173913043,64.0,4.0,,0.0,6.0,11.0,36.0,18.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,83.0,0,1,11.0,34.0,1.0,20181113022047.0,21077.0,2.9,0.2631578947368421
63,,,3.0,6.5,0.8333333333333334,-6.5,0.9090909090909091,236.5,0.8,236.5,0.9523809523809523,64.0,4.0,^,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,25.0,1.0,20181113022055.0,21074^11077,2.9,0.2631578947368421
64,,,3.0,6.5,0.8333333333333334,-6.5,0.9090909090909091,236.5,0.8,236.5,0.9523809523809523,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,25.0,1.0,20181113022056.0,11077.0,2.9,0.2631578947368421
65,,,3.0,6.5,0.8,-6.5,0.9523809523809523,235.5,0.8695652173913043,235.5,0.8695652173913043,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,19.0,1.0,20181113022102.0,21077.0,2.9,0.2631578947368421
66,,,3.0,6.5,0.8,-6.5,0.9523809523809523,235.5,0.8695652173913043,235.5,0.8695652173913043,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,17.0,1.0,20181113022103.0,21077.0,2.5,0.30303030303030304
67,,,3.0,6.5,0.8333333333333334,-6.5,0.9090909090909091,235.5,0.8695652173913043,235.5,0.8695652173913043,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,14.0,1.0,20181113022106.0,21077.0,3.6,0.2
68,,,3.0,6.5,0.8333333333333334,-6.5,0.9090909090909091,235.5,0.8333333333333334,235.5,0.9090909090909091,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,0.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,13.0,0.0,20181113022108.0,21077.0,3.6,0.2
69,,,3.0,6.5,0.8333333333333334,-6.5,0.9090909090909091,235.5,0.8333333333333334,235.5,0.9090909090909091,64.0,4.0,^,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,1.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,13.0,0.0,20181113022114.0,11086^21077,3.6,0.2
70,,,3.0,5.5,0.8333333333333334,-5.5,0.9090909090909091,236.5,0.8695652173913043,236.5,0.8695652173913043,64.0,4.0,1:2,0.0,6.0,11.0,36.0,19.0,3.0,14.0,3.0,3.0,1.0,0.0,50.0,82.4,96.0,85.0,0,1,11.0,13.0,0.0,20181113022124.0,21078.0,3.1,0.25
71,,,3.0,4.5,0.9523809523809523,-4.5,0.8,237.5,0.8,237.5,0.9523809523809523,64.0,4.0,1:2^2:2,0.0,6.0,11.0,36.0,19.0,3.0,15.0,3.0,3.0,1.0,0.0,50.0,83.3,96.0,86.0,0,1,11.0,13.0,0.0,20181113022132.0,21079^21078,2.8,0.2702702702702703
72,,,3.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,237.5,0.8695652173913043,237.5,0.8695652173913043,64.0,4.0,2:2^,0.0,6.0,11.0,36.0,19.0,3.0,16.0,3.0,3.0,1.0,0.0,50.0,84.2,96.0,87.0,0,1,11.0,13.0,0.0,20181113022145.0,21079^11077,2.6,0.29411764705882354
73,,,3.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,237.5,0.8695652173913043,237.5,0.8695652173913043,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,16.0,3.0,3.0,1.0,0.0,50.0,84.2,96.0,87.0,0,1,11.0,13.0,1.0,20181113022147.0,11077.0,1.9,0.425531914893617
74,,,3.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,237.5,0.8333333333333334,237.5,0.9090909090909091,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,16.0,3.0,3.0,1.0,0.0,50.0,84.2,96.0,87.0,0,1,11.0,10.0,1.0,20181113022148.0,21077.0,1.9,0.425531914893617
75,,,3.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,236.5,0.9523809523809523,236.5,0.8,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,16.0,3.0,3.0,1.0,0.0,50.0,84.2,96.0,87.0,0,1,11.0,4.0,1.0,20181113022154.0,21077.0,1.9,0.425531914893617
76,,,3.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,236.5,0.8695652173913043,236.5,0.8695652173913043,64.0,4.0,,0.0,6.0,11.0,36.0,19.0,3.0,16.0,3.0,3.0,1.0,0.0,50.0,84.2,96.0,87.0,0,1,11.0,1.0,1.0,20181113022157.0,21094.0,1.9,0.425531914893617
77,,,3.0,2.5,0.8333333333333334,-2.5,0.9090909090909091,239.5,0.8333333333333334,239.5,0.9090909090909091,63.0,4.0,^,0.0,6.0,12.0,36.0,19.0,3.0,16.0,3.0,3.0,1.0,0.0,50.0,84.2,96.0,90.0,0,1,10.0,58.0,1.0,20181113022200.0,21075^11077,1.9,0.425531914893617
78,,,3.0,2.5,0.8333333333333334,-2.5,0.9090909090909091,239.5,0.8333333333333334,239.5,0.9090909090909091,63.0,4.0,,0.0,6.0,12.0,36.0,19.0,3.0,16.0,3.0,3.0,1.0,0.0,50.0,84.2,96.0,90.0,0,1,10.0,58.0,1.0,20181113022201.0,11077.0,1.9,0.425531914893617
