,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
78,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,87.0,89.0,0,1,0.0,45.0,1.0,20181107151432.0,21077.0
79,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,87.0,89.0,0,1,0.0,37.0,1.0,20181107151440.0,21077.0
80,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,,87.0,89.0,0,1,0.0,34.0,0.0,20181107151443.0,21077.0
81,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,^,87.0,89.0,0,1,0.0,37.0,0.0,20181107151446.0,11086^21077
82,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,1:2,87.0,89.0,0,1,0.0,37.0,0.0,20181107151450.0,21078.0
83,,,OT 1,Overtime 1,-3.5,0.0,3.5,0.0,2.0,5.0,1:2^2:2,87.0,90.0,0,1,0.0,37.0,0.0,20181107151506.0,21079^21078
84,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,37.0,1.0,20181107151527.0,21080^11077
85,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,36.0,1.0,20181107151528.0,21080^11077
86,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,28.0,1.0,20181107151536.0,21080^11077
87,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,28.0,1.0,20181107151537.0,21080^11077
88,,,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,22.0,0.0,20181107151542.0,21080^11077
89,44.0,5.0,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,26.0,0.0,20181107151557.0,21081.0
90,44.0,5.0,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,25.0,0.0,20181107151717.0,21081.0
91,44.0,5.0,OT 1,Overtime 1,-2.5,0.0,2.5,0.0,2.0,5.0,2:2^,87.0,90.0,0,1,0.0,16.0,0.0,20181107151725.0,11077.0
