,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
66,44.0,5.0,4.0,7.5,0.8,-7.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,25.0,1.0,20180924174459.0,21077.0,8.0,0.04
67,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,18.0,1.0,20180924174505.0,11077.0,10.0,0.02
68,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,9.0,1.0,20180924174514.0,11077.0,10.5,0.016666666666666666
69,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,6.0,0.0,20180924174517.0,11077.0,11.0,0.015151515151515152
70,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,6.0,82.9,77.3,85.0,77.0,0,1,2.0,6.0,0.0,20180924174538.0,11077.0,11.0,0.015151515151515152
71,44.0,5.0,4.0,8.5,0.8695652173913043,-8.5,0.8,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,^,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,7.0,82.9,77.3,85.0,77.0,0,1,2.0,6.0,0.0,20180924174539.0,21086^11077,10.5,0.016666666666666666
72,44.0,5.0,4.0,8.5,0.8695652173913043,-8.5,0.8,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,1:2,1.0,6,,21.0,29.0,17.0,2.0,1.0,5.0,7.0,80.6,77.3,85.0,77.0,0,1,2.0,6.0,0.0,20180924174539.0,11078.0,10.5,0.016666666666666666
73,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,2:2^,1.0,6,,21.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,77.0,0,1,2.0,6.0,0.0,20180924174619.0,11079^21077,10.5,0.016666666666666666
74,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,2:2^,1.0,6,,21.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,77.0,0,1,2.0,6.0,1.0,20180924174619.0,11079^21077,10.5,0.016666666666666666
75,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,2:2^,1.0,6,,21.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,77.0,0,1,2.0,5.0,0.0,20180924174621.0,11079^21077,11.0,0.015151515151515152
76,44.0,5.0,4.0,8.5,0.8,-8.5,0.8695652173913043,174.5,0.9090909090909091,174.5,0.7692307692307693,4.0,2:2^,1.0,6,,21.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,77.0,0,1,2.0,5.0,1.0,20180924174626.0,11079^21077,11.0,0.015151515151515152
77,44.0,5.0,4.0,8.5,0.0,-8.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,2:2^,1.0,6,,21.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,77.0,0,1,1.0,56.0,1.0,20180924174634.0,11079^21077,11.5,0.013333333333333334
78,44.0,5.0,4.0,7.5,0.0,-7.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,^,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,79.0,0,1,1.0,51.0,1.0,20180924174634.0,21074^11077,9.5,0.025
79,44.0,5.0,4.0,7.5,0.0,-7.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,79.0,0,1,1.0,49.0,0.0,20180924174634.0,11077.0,9.5,0.025
80,44.0,5.0,4.0,7.5,0.0,-7.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,79.0,0,1,1.0,49.0,1.0,20180924174645.0,11077.0,9.5,0.025
81,44.0,5.0,4.0,7.5,0.0,-7.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,79.0,0,1,1.0,40.0,1.0,20180924174653.0,11077.0,10.0,0.02
82,44.0,5.0,4.0,7.5,0.0,-7.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,79.0,0,1,1.0,32.0,1.0,20180924174701.0,11077.0,10.5,0.016666666666666666
83,44.0,5.0,4.0,7.5,0.0,-7.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,7.0,81.1,77.3,86.0,79.0,0,1,1.0,25.0,0.0,20180924174709.0,11077.0,11.5,0.013333333333333334
84,44.0,5.0,4.0,7.5,0.0,-7.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,^,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,8.0,81.1,77.3,86.0,79.0,0,1,1.0,25.0,0.0,20180924174716.0,21086^11077,11.5,0.013333333333333334
85,44.0,5.0,4.0,8.5,0.0,-8.5,0.0,174.5,0.9090909090909091,174.5,0.7692307692307693,3.0,1:3,1.0,6,,22.0,30.0,17.0,2.0,1.0,5.0,8.0,81.1,77.3,86.0,79.0,0,1,1.0,25.0,0.0,20180924174718.0,11078.0,12.0,0.0125
