,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
93,,,,第1节,5.5,0.83,-6.5,0.83,147.5,0.83,147.5,0.83,-6.5,,1.0,1:2,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,1,6.0,GD,10.0,0,,11078.0,0.0,0.0,
94,,,,第1节,6.5,0.83,-6.5,0.83,147.5,0.83,147.5,0.83,6.5,,1.0,1:2,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,,1,6.0,GD,10.0,0,,11079.0,0.0,0.0,"0.80,0.50"
95,,,,第1节,6.5,0.83,-6.5,0.83,147.5,0.83,147.5,0.83,6.5,,1.0,2:2,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,5.0,1.0,0.0,,1,6.0,GD,10.0,0,,11078.0,0.0,0.0,"0.80,0.50"
96,,,,第1节,6.5,0.83,-6.5,0.83,147.5,0.83,147.5,0.83,6.5,,1.0,2:2,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,6.0,GD,10.0,0,,11080.0,0.0,0.0,"0.80,0.50"
97,,,,第1节,6.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,-5.5,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,6.0,GD,10.0,0,,21077.0,0.0,0.0,
98,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,6.0,GD,9.0,0,,21077.0,0.0,0.0,
99,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,5.0,GD,9.0,0,,21077.0,0.0,0.0,
100,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,5.0,GD,55.0,0,,21077.0,0.0,0.0,
101,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,5.0,GD,55.0,0,,11086.0,0.0,0.0,
102,,,,第1节,5.5,0.83,-5.5,0.83,147.5,0.83,147.5,0.83,5.5,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,5.0,GD,55.0,0,,21077.0,0.0,0.0,
103,,,,第1节,5.5,0.83,-4.5,0.83,147.5,0.83,147.5,0.83,-4.5,,1.0,1:2,,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,50.0,0.0,5.0,1.0,0.0,,1,5.0,GD,55.0,0,,21078.0,0.0,0.0,
104,44.0,5.0,,第1节,4.5,0.83,-4.5,0.83,147.5,0.83,147.5,0.83,4.5,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,4.0,5.0,1.0,1.0,50.0,0.0,5.0,6.0,0.0,,1,5.0,GD,55.0,0,,11081.0,0.0,0.0,
105,44.0,5.0,,第1节,4.5,0.83,-4.5,0.83,147.5,0.83,147.5,0.83,4.5,,1.0,1:2,,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,50.0,100.0,5.0,6.0,0.0,,1,5.0,GD,55.0,0,,21079.0,0.0,0.0,"0.21,0.50"
106,44.0,5.0,,第1节,4.5,0.83,-4.5,0.83,147.5,0.83,147.5,0.83,4.5,,1.0,2:2,,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,50.0,100.0,6.0,1.0,0.0,,1,5.0,GD,55.0,0,,21078.0,0.0,0.0,"0.21,0.50"
107,44.0,5.0,,第1节,4.5,0.8,-5.5,0.87,147.5,0.83,147.5,0.83,-5.5,,1.0,2:2,,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,50.0,50.0,6.0,1.0,0.0,,1,5.0,GD,55.0,0,,21080.0,0.0,0.0,"0.21,0.50"
