,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
92,,,,,1.5,0.8,-1.5,0.91,140.5,0.83,140.5,0.83,1.5,,0.77,,43.0,37.0,0.0,1,5.0,1.0,0.0,20180721013431.0,21077.0,0.77,0.91
93,,,,,1.5,0.8,-1.5,0.87,140.5,0.83,140.5,0.83,-1.5,,0.77,,43.0,37.0,0.0,1,5.0,1.0,1.0,20180721013435.0,21077.0,0.77,0.91
94,,,,,1.5,0.8,-1.5,0.87,139.5,0.83,140.5,0.83,139.5,,0.77,,43.0,37.0,0.0,1,5.0,1.0,1.0,20180721013435.0,21077.0,0.77,0.91
95,,,,,1.5,0.8,-1.5,0.87,139.5,0.83,139.5,0.83,139.5,,0.77,,43.0,37.0,0.0,1,4.0,53.0,1.0,20180721013443.0,21077.0,0.77,0.91
96,,,,,1.5,0.8,-1.5,0.87,142.5,0.87,139.5,0.83,142.5,,0.71,,43.0,37.0,0.0,1,4.0,53.0,1.0,20180721013443.0,21077.0,0.77,0.91
97,,,,,1.5,0.8,-1.5,0.87,142.5,0.87,142.5,0.8,142.5,,1.0,,43.0,40.0,0.0,1,4.0,48.0,1.0,20180721013447.0,21077.0,0.77,0.91
98,,,,,-1.5,0.83,1.5,0.87,142.5,0.87,142.5,0.8,-1.5,,1.0,,43.0,40.0,0.0,1,4.0,48.0,1.0,20180721013447.0,21077.0,0.77,0.91
99,,,,,-1.5,0.83,1.5,0.83,142.5,0.87,142.5,0.8,1.5,,1.0,^,43.0,40.0,0.0,1,4.0,48.0,1.0,20180721013448.0,21075^11077,0.77,0.91
100,,,,,-1.5,0.83,1.5,0.83,142.5,0.8,142.5,0.87,1.5,,1.0,,43.0,40.0,0.0,1,4.0,48.0,1.0,20180721013448.0,11077.0,0.77,0.91
101,,,,,-1.5,0.83,1.5,0.83,142.5,0.8,142.5,0.87,1.5,,1.0,,43.0,40.0,0.0,1,4.0,40.0,1.0,20180721013456.0,11077.0,0.77,0.91
102,,,,,-1.5,0.83,1.5,0.83,142.5,0.8,142.5,0.87,1.5,,1.0,,43.0,40.0,0.0,1,4.0,40.0,1.0,20180721013456.0,11077.0,0.77,0.91
103,,,,,-1.5,0.83,1.5,0.83,142.5,0.8,142.5,0.87,1.5,,1.0,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013456.0,11077.0,0.77,0.91
104,,,,,-1.5,0.83,1.5,0.83,142.5,0.8,142.5,0.87,1.5,,0.63,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013456.0,11077.0,0.77,0.91
105,,,,,-1.5,0.83,1.5,0.83,142.5,0.8,142.5,0.87,1.5,,1.2,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013500.0,11077.0,0.77,0.91
106,,,,,-2.5,0.87,2.5,0.83,142.5,0.8,142.5,0.87,-2.5,,1.2,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013500.0,11077.0,0.77,0.91
107,,,,,-2.5,0.87,2.5,0.8,142.5,0.8,142.5,0.87,2.5,,1.2,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013503.0,21077.0,0.77,0.91
108,,,,,-2.5,0.87,2.5,0.8,142.5,0.8,142.5,0.87,2.5,,1.2,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013503.0,21077.0,0.77,0.91
109,,,,,-2.5,0.87,2.5,0.8,142.5,0.8,142.5,0.87,2.5,,1.2,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013504.0,21077.0,0.77,0.91
110,,,,,-2.5,0.87,2.5,0.8,142.5,0.8,142.5,0.87,2.5,,1.2,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013504.0,21077.0,0.77,0.91
111,,,,,-2.5,0.87,2.5,0.8,142.5,0.8,142.5,0.87,2.5,,1.2,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013508.0,21077.0,0.77,0.91
112,,,,,-2.5,0.87,2.5,0.8,143.5,0.8,142.5,0.87,143.5,,0.0,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013508.0,11086.0,0.77,0.91
113,,,,,-2.5,0.87,2.5,0.8,143.5,0.8,143.5,0.87,143.5,,1.25,,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013513.0,11086.0,0.77,0.91
114,,,,,-2.5,0.83,2.5,0.83,143.5,0.8,143.5,0.87,143.5,,0.47,1:2,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013513.0,21078.0,0.77,0.91
115,,,,,-3.5,0.83,3.5,0.83,143.5,0.8,143.5,0.87,-3.5,,0.0,1:2,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013513.0,21078.0,0.77,0.91
116,,,,,-3.5,0.83,3.5,0.83,143.5,0.83,143.5,0.87,3.5,,0.0,1:2,43.0,40.0,0.0,1,4.0,38.0,0.0,20180721013513.0,21078.0,0.77,0.91
117,,,,,-3.5,0.83,3.5,0.83,143.5,0.83,143.5,0.83,3.5,,0.0,1:2,43.0,41.0,0.0,1,4.0,38.0,0.0,20180721013527.0,21078.0,0.77,0.91
118,,,,,-3.5,0.8,3.5,0.87,144.5,0.83,143.5,0.83,144.5,,0.0,1:2^2:2,43.0,41.0,0.0,1,4.0,38.0,0.0,20180721013527.0,21079^21078,0.77,0.91
119,,,,,-3.5,0.8,3.5,0.87,144.5,0.83,144.5,0.83,144.5,,0.0,1:2^2:2,43.0,42.0,0.0,1,4.0,38.0,0.0,20180721013533.0,21079^21078,0.77,0.91
120,,,,,-4.5,0.8,4.5,0.87,144.5,0.83,144.5,0.83,-4.5,,0.0,1:2^2:2,43.0,42.0,0.0,1,4.0,38.0,0.0,20180721013533.0,21079^21078,0.77,0.91
121,,,,,-4.5,0.8,4.5,0.87,144.5,0.83,144.5,0.83,4.5,,0.0,2:2,43.0,42.0,0.0,1,4.0,38.0,1.0,20180721013543.0,21079.0,0.77,0.91
