,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
66,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.9090909090909091,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,31.0,1.0,20181110020736.0,11077.0,0.10526315789473684,6.0
67,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,140.5,0.8,140.5,0.9523809523809523,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,27.0,0.0,20181110020740.0,11077.0,0.10526315789473684,6.0
68,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,140.5,0.7692307692307693,140.5,1.0,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,27.0,0.0,20181110020744.0,21077.0,0.07142857142857142,8.25
69,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,140.5,0.7692307692307693,140.5,1.0,52.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,27.0,1.0,20181110020754.0,21077.0,0.07142857142857142,8.25
70,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,139.5,0.8695652173913043,139.5,0.8695652173913043,51.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,18.0,1.0,20181110020803.0,21077.0,0.07142857142857142,8.25
71,2.0,-8.5,0.9090909090909091,8.5,0.8333333333333334,139.5,0.7692307692307693,139.5,1.0,50.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,11.0,1.0,20181110020810.0,21095.0,0.07142857142857142,8.25
72,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,139.5,0.7692307692307693,139.5,1.0,51.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,11.0,1.0,20181110020811.0,11077.0,0.1,6.25
73,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,138.5,0.8695652173913043,138.5,0.8695652173913043,50.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,6.0,2.0,1.0,20181110020820.0,11077.0,0.1,6.25
74,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,137.5,1.0,137.5,0.7692307692307693,22.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,5.0,53.0,1.0,20181110020828.0,11077.0,0.1,6.25
75,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8695652173913043,22.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,5.0,47.0,1.0,20181110020834.0,11094.0,0.09523809523809523,6.5
76,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8695652173913043,22.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,5.0,47.0,1.0,20181110020835.0,11077.0,0.09523809523809523,6.5
77,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8695652173913043,22.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,5.0,46.0,1.0,20181110020835.0,11095.0,0.09523809523809523,6.5
78,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8695652173913043,22.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,5.0,46.0,0.0,20181110020836.0,11095.0,0.09523809523809523,6.5
79,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.9090909090909091,22.0,,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,2.0,100.0,72.2,53.0,61,0,1,5.0,45.0,0.0,20181110020838.0,11095.0,0.09523809523809523,6.5
80,2.0,-7.5,0.9090909090909091,7.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8695652173913043,22.0,^,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,3.0,100.0,72.2,53.0,61,0,1,5.0,47.0,0.0,20181110020842.0,21086^11077,0.09523809523809523,6.5
81,2.0,-7.5,0.9523809523809523,7.5,0.8,138.5,0.9090909090909091,138.5,0.8333333333333334,22.0,1:2,9.0,6.0,11.0,15.0,4.0,13.0,3,4,3.0,3.0,100.0,72.2,53.0,61,0,1,5.0,47.0,0.0,20181110020844.0,11078.0,0.1111111111111111,5.75
82,2.0,-6.5,0.8,6.5,0.9523809523809523,139.5,0.8333333333333334,139.5,0.9090909090909091,23.0,1:2^2:2,9.0,6.0,11.0,15.0,5.0,13.0,3,4,3.0,3.0,100.0,72.2,54.0,61,0,1,5.0,47.0,0.0,20181110020859.0,11079^11078,0.125,5.25
