,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
95,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,59.0,1.0,20181113023419.0,11077.0
96,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,59.0,1.0,20181113023420.0,11077.0
97,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,50.0,1.0,20181113023428.0,11077.0
98,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,43.0,1.0,20181113023435.0,11077.0
99,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,34.0,1.0,20181113023444.0,21077.0
100,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,26.0,1.0,20181113023452.0,21077.0
101,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,10.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,21.0,0.0,20181113023457.0,21077.0
102,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,18.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,21.0,0.0,20181113023457.0,11077.0
103,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,^,1.0,5.0,6,4,18.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,21.0,0.0,20181113023502.0,11086^21077
104,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,,1.0,5.0,6,4,18.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,52.9,75.9,50.0,,66,67,0,1,1.0,21.0,0.0,20181113023503.0,21077.0
105,,,OT 1,Overtime 1,-1.5,0.0,1.5,0.0,3.0,5.0,1:1,1.0,5.0,6,4,18.0,9,16,18.0,22,13,2.0,4,3,9.0,5,9,51.4,75.9,50.0,,66,67,0,1,1.0,21.0,0.0,20181113023503.0,21078.0
