,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
73,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,8.0,0.0,20181018153043.0,21077.0
74,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,8.0,1.0,20181018153050.0,21077.0
75,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,13.0,1.0,20181018153050.0,21077.0
76,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,4.0,1.0,20181018153059.0,21077.0
77,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,5.0,1.0,20181018153100.0,21077.0
78,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,4.0,1.0,20181018153100.0,21077.0
79,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,0.0,0.0,20181018153106.0,21077.0
80,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,0.0,0.0,20181018153108.0,21077.0
81,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,0.0,0.0,20181018153125.0,21077.0
82,4.0,42.5,0.0,-42.5,0.0,1.0,,79.0,36.0,0,1,0.0,0.0,0.0,20181018153125.0,1084.0
