,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
75,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,1.0,10.0,,1.0,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,4.0,100.0,50.0,9,22,0,1,2.0,14.0,0.0,20180916154638.0,21086.0
76,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.8333333333333334,1.0,10.0,,1.0,1.0,1.0,1.0,2.0,8.0,2.0,3.0,4.0,5,5.0,5.0,100.0,50.0,9,22,0,1,2.0,14.0,0.0,20180916154639.0,21086.0
77,,,1.0,,-38.5,0.8333333333333334,38.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,10.0,1:2,1.0,1.0,1.0,1.0,2.0,8.0,3.0,3.0,4.0,5,5.0,5.0,100.0,50.0,9,22,0,1,2.0,14.0,0.0,20180916154639.0,11078.0
78,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,148.5,0.8,148.5,0.8695652173913043,1.0,10.0,2:2,1.0,1.0,1.0,1.0,2.0,8.0,4.0,3.0,4.0,5,5.0,5.0,100.0,50.0,11,22,0,1,2.0,14.0,0.0,20180916154712.0,11079.0
79,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,148.5,0.8,148.5,0.8695652173913043,1.0,10.0,,1.0,1.0,1.0,1.0,2.0,8.0,4.0,3.0,4.0,5,5.0,5.0,100.0,50.0,11,22,0,1,2.0,14.0,1.0,20180916154725.0,11077.0
80,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,1.0,10.0,,1.0,1.0,1.0,1.0,2.0,8.0,4.0,3.0,4.0,5,5.0,5.0,100.0,50.0,11,22,0,1,2.0,5.0,1.0,20180916154734.0,11077.0
81,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,1.0,10.0,,1.0,1.0,1.0,1.0,2.0,8.0,4.0,3.0,4.0,5,5.0,5.0,100.0,50.0,11,22,0,1,2.0,2.0,1.0,20180916154737.0,21077.0
82,,,1.0,,-37.5,0.8333333333333334,37.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,1.0,12.0,,1.0,1.0,1.0,1.0,2.0,8.0,4.0,3.0,4.0,5,5.0,5.0,100.0,50.0,11,22,0,1,1.0,53.0,1.0,20180916154745.0,21077.0
83,,,1.0,,-39.5,0.8333333333333334,39.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,1.0,12.0,,1.0,1.0,1.0,1.0,2.0,9.0,4.0,3.0,4.0,5,5.0,5.0,100.0,50.0,11,24,0,1,1.0,49.0,1.0,20180916154750.0,21074.0
84,,,1.0,,-39.5,0.8695652173913043,39.5,0.8,148.5,0.8333333333333334,148.5,0.8333333333333334,1.0,12.0,,1.0,1.0,1.0,1.0,2.0,9.0,4.0,3.0,4.0,5,5.0,5.0,100.0,50.0,11,24,0,1,1.0,46.0,1.0,20180916154753.0,11077.0
