,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
92,,第3节,27.5,0.87,-27.5,0.8,187.5,0.83,186.5,0.83,27.5,,,1.0,6.0,6.0,23.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,50.0,69.0,1.0,1,5.0,5.0,0,,21077.0
93,,第3节,27.5,0.87,-27.5,0.8,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,23.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,50.0,69.0,1.0,1,5.0,5.0,0,,21077.0
94,,第3节,27.5,0.87,-27.5,0.8,186.5,0.83,186.5,0.83,186.5,,,1.0,6.0,6.0,23.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,50.0,69.0,1.0,1,4.0,54.0,0,,11077.0
95,,第3节,27.5,0.87,-28.5,0.8,186.5,0.83,186.5,0.83,-28.5,,,1.0,6.0,6.0,23.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,50.0,69.0,1.0,1,4.0,54.0,0,,11077.0
96,,第3节,28.5,0.87,-28.5,0.8,186.5,0.83,185.5,0.83,28.5,,,1.0,6.0,6.0,23.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,50.0,69.0,1.0,1,4.0,54.0,0,,11077.0
97,,第3节,28.5,0.87,-28.5,0.8,185.5,0.83,185.5,0.83,185.5,,,1.0,6.0,6.0,23.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,50.0,69.0,1.0,1,4.0,54.0,0,,11077.0
98,,第3节,28.5,0.87,-28.5,0.8,185.5,0.83,185.5,0.83,185.5,,,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,71.0,69.0,1.0,1,4.0,54.0,0,,11074.0
99,,第3节,28.5,0.83,-29.5,0.83,185.5,0.83,185.5,0.83,-29.5,,,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,71.0,69.0,1.0,1,4.0,54.0,0,,21077.0
100,,第3节,29.5,0.83,-29.5,0.83,185.5,0.83,187.5,0.83,29.5,,,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,71.0,69.0,1.0,1,4.0,54.0,0,,21077.0
101,,第3节,29.5,0.83,-29.5,0.83,187.5,0.83,187.5,0.83,187.5,,,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,71.0,69.0,1.0,1,4.0,54.0,0,,21077.0
102,,第3节,29.5,0.83,-29.5,0.83,187.5,0.83,187.5,0.83,187.5,,,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,1.0,62.5,50.0,50.0,71.0,1.0,1,4.0,44.0,0,,21077.0
103,,第3节,29.5,0.83,-29.5,0.83,187.5,0.83,187.5,0.83,187.5,,,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,2.0,62.5,50.0,50.0,71.0,1.0,1,4.0,44.0,0,,21086.0
104,,第3节,29.5,0.87,-30.5,0.8,187.5,0.83,187.5,0.83,-30.5,,,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,2.0,62.5,50.0,50.0,71.0,1.0,1,4.0,44.0,0,,11077.0
105,,第3节,30.5,0.83,-30.5,0.83,187.5,0.83,187.5,0.83,30.5,,1:1,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,2.0,62.5,50.0,50.0,71.0,1.0,1,4.0,44.0,0,,11078.0
106,,第3节,30.5,0.83,-30.5,0.83,187.5,0.83,187.5,0.83,30.5,,1:1,1.0,6.0,6.0,24.0,11.0,5.0,10.0,5,1,5.0,2.0,55.6,50.0,50.0,71.0,1.0,1,4.0,44.0,0,,11080.0
