,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
66,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
67,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,7.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
68,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,49.0,52.0,0.0,1,7.0,22.0,0,,21075.0,0.0,0.0
69,,,第4节,11.5,0.87,-11.5,0.8,137.5,0.83,137.5,0.83,11.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
70,,,第4节,11.5,0.87,-8.5,0.8,137.5,0.83,137.5,0.83,-8.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
71,,,第4节,8.5,0.87,-8.5,0.8,137.5,0.83,140.5,0.83,8.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
72,,,第4节,8.5,0.87,-8.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,7.0,22.0,0,,11077.0,0.0,0.0
73,,,第4节,8.5,0.87,-8.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,7.0,13.0,0,,11077.0,0.0,0.0
74,,,第4节,8.5,0.87,-8.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,7.0,13.0,0,,11077.0,0.0,0.0
75,,,第4节,8.5,0.87,-8.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,7.0,0.0,0,,11077.0,0.0,0.0
76,,,第4节,8.5,0.87,-8.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,6.0,0.0,0,,21077.0,0.0,0.0
77,,,第4节,8.5,0.87,-8.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,6.0,56.0,0,,21077.0,0.0,0.0
78,,,第4节,8.5,0.87,-7.5,0.8,140.5,0.83,140.5,0.83,-7.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,6.0,56.0,0,,21077.0,0.0,0.0
79,,,第4节,7.5,0.87,-7.5,0.8,140.5,0.83,139.5,1.0,7.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,6.0,56.0,0,,21077.0,0.0,0.0
80,,,第4节,7.5,0.87,-7.5,0.8,139.5,0.71,139.5,1.0,139.5,,,,5.0,8.0,16.0,13.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,60.0,0.0,1,6.0,56.0,0,,21077.0,0.0,0.0
81,,,第4节,7.5,0.87,-7.5,0.8,139.5,0.71,139.5,1.0,139.5,,,,5.0,8.0,16.0,14.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,52.0,54.0,0.0,1,6.0,56.0,0,,21074.0,0.0,0.0
82,,,第4节,7.5,0.87,-7.5,0.8,139.5,0.71,139.5,1.0,139.5,,,,5.0,8.0,16.0,14.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,54.0,60.0,0.0,1,6.0,56.0,0,,11077.0,0.0,0.0
83,,,第4节,7.5,0.87,-7.5,0.8,139.5,0.71,139.5,1.0,139.5,,,,5.0,8.0,16.0,14.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,54.0,60.0,0.0,1,6.0,45.0,0,,11077.0,0.0,0.0
84,,,第4节,7.5,0.91,-6.5,0.77,139.5,0.71,139.5,1.0,-6.5,,,,5.0,8.0,16.0,14.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,54.0,60.0,0.0,1,6.0,45.0,0,,11077.0,0.0,0.0
85,,,第4节,6.5,0.91,-6.5,0.77,139.5,0.71,140.5,0.83,6.5,,,,5.0,8.0,16.0,14.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,54.0,60.0,0.0,1,6.0,45.0,0,,11077.0,0.0,0.0
86,,,第4节,6.5,0.91,-6.5,0.77,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,14.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,54.0,60.0,0.0,1,6.0,45.0,0,,11077.0,0.0,0.0
87,,,第4节,6.5,0.91,-6.5,0.77,140.5,0.83,140.5,0.83,140.5,,,,5.0,8.0,16.0,14.0,13.0,2.0,2.0,2.0,2.0,1.0,61.9,40.0,54.0,60.0,0.0,1,6.0,42.0,0,,11077.0,0.0,0.0
