,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
71,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,1:2,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,6.0,0.0,1,9.0,GD,16.0,0.0,20180513204624.0,11079.0,,0.91,0.83
72,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,2:2,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,7.0,0.0,1,9.0,GD,16.0,0.0,20180513204624.0,11078.0,,0.91,0.83
73,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,2:2,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,7.0,0.0,1,9.0,GD,16.0,1.0,20180513204720.0,11080.0,,0.91,0.83
74,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,,,0.0,1.0,2.0,6.0,2.0,40.0,4.0,7.0,0.0,1,9.0,GD,16.0,1.0,20180513204720.0,21077.0,,0.91,0.83
75,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.91,,,0.0,2.0,2.0,6.0,2.0,40.0,4.0,6.0,0.0,1,9.0,GD,16.0,1.0,20180513204720.0,21074.0,,0.91,0.83
76,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,2.0,2.0,6.0,2.0,40.0,4.0,6.0,0.0,1,9.0,GD,16.0,1.0,20180513204720.0,11077.0,,0.91,0.83
77,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,2.0,2.0,6.0,2.0,40.0,6.0,7.0,0.0,1,9.0,GD,16.0,1.0,20180513204720.0,11077.0,,0.91,0.83
78,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,2.0,2.0,6.0,2.0,40.0,6.0,7.0,0.0,1,8.0,GD,53.0,0.0,20180513204720.0,11077.0,,0.91,0.83
79,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.87,,,0.0,2.0,2.0,6.0,2.0,40.0,6.0,7.0,0.0,1,8.0,GD,53.0,0.0,20180513204720.0,11086.0,,0.91,0.83
80,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.91,,,0.0,2.0,2.0,6.0,2.0,40.0,6.0,7.0,0.0,1,8.0,GD,53.0,0.0,20180513204720.0,21077.0,,0.91,0.83
81,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,1:1,,0.0,2.0,2.0,6.0,2.0,40.0,6.0,7.0,0.0,1,8.0,GD,53.0,0.0,20180513204720.0,21078.0,,0.91,0.83
82,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.83,1:1,,0.0,2.0,3.0,6.0,2.0,50.0,7.0,7.0,0.0,1,8.0,GD,53.0,0.0,20180513204720.0,21079.0,,0.91,0.83
83,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.95,1:1,,0.0,2.0,3.0,6.0,2.0,50.0,7.0,7.0,0.0,1,8.0,GD,53.0,0.0,20180513204720.0,21079.0,,0.91,0.83
84,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,,,0.0,2.0,3.0,6.0,2.0,50.0,7.0,7.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,11077.0,,0.91,0.83
85,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,,,0.0,2.0,3.0,6.0,2.0,50.0,7.0,7.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,21077.0,,0.91,0.83
86,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.8,,,0.0,3.0,3.0,6.0,2.0,50.0,7.0,9.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,21074.0,,0.91,0.83
87,,,,第1节,1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,1.5,1.0,8764711.0,0.77,,,0.0,3.0,3.0,6.0,2.0,50.0,7.0,9.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,11077.0,,0.91,0.83
88,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,1.0,,,0.0,3.0,3.0,6.0,2.0,50.0,9.0,7.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,11077.0,,0.91,0.83
89,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.8,,,0.0,3.0,3.0,6.0,2.0,50.0,9.0,7.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,21077.0,,0.91,0.83
90,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.95,,,0.0,3.0,3.0,6.0,2.0,50.0,9.0,7.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,11077.0,,0.91,0.83
91,,,,第1节,-1.5,1.5,0.83,-1.5,0.91,204.5,0.87,204.5,0.87,-1.5,1.0,8764711.0,0.77,,,0.0,3.0,3.0,6.0,2.0,50.0,9.0,7.0,0.0,1,8.0,GD,53.0,1.0,20180513204817.0,11077.0,,0.91,0.83
