,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
129,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,59.0,79.0,0,1,1.0,50.0,0.0,20180913154801.0,21077.0,
130,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,^,59.0,79.0,0,1,1.0,51.0,0.0,20180913154810.0,21086^11077,^
131,,,,-20.5,0.0,20.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2,59.0,79.0,0,1,1.0,51.0,0.0,20180913154813.0,11078.0,
132,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,1:2^2:2,60.0,79.0,0,1,1.0,51.0,0.0,20180913154838.0,11079^11078,^
133,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,2:2^,61.0,79.0,0,1,1.0,51.0,0.0,20180913154854.0,11079^21077,^
134,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,2:2^,61.0,79.0,0,1,1.0,51.0,1.0,20180913154904.0,11079^21077,^
135,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,2:2^,61.0,79.0,0,1,1.0,50.0,1.0,20180913154904.0,11079^21077,^
136,,,,-17.5,0.0,17.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,50.0,1.0,20180913154905.0,11077.0,
137,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,35.0,1.0,20180913154913.0,21077.0,
138,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,26.0,1.0,20180913154921.0,21077.0,
139,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,25.0,0.0,20180913154922.0,21077.0,
140,,,,-18.5,0.0,18.5,0.0,146.5,0.8333333333333334,146.5,0.8333333333333334,2.0,,61.0,79.0,0,1,1.0,24.0,0.0,20180913154924.0,21077.0,
