,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
71,,,,第1节,-71.5,0.83,70.5,0.83,154.5,0.83,154.5,0.83,70.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,25.0,0,,11077.0,
72,,,,第1节,-70.5,0.83,70.5,0.83,154.5,0.83,153.5,0.87,-70.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,25.0,0,,11077.0,
73,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,25.0,0,,11077.0,
74,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,25.0,0,,21086.0,
75,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,1.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,2.0,0.0,1,6.0,GD,23.0,0,,11077.0,
76,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,1,6.0,GD,23.0,0,,11074.0,"0.84,0.60"
77,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.8,153.5,0.87,153.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,23.0,0,,21077.0,
78,,,,第1节,-70.5,0.83,69.5,0.83,153.5,0.8,153.5,0.87,69.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,23.0,0,,21077.0,
79,,,,第1节,-69.5,0.83,69.5,0.83,153.5,0.8,155.5,0.83,-69.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,23.0,0,,21077.0,
80,,,,第1节,-69.5,0.83,69.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,23.0,0,,21077.0,
81,,,,第1节,-69.5,0.83,69.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,23.0,0,,21095.0,"0.22,0.54"
82,,,,第1节,-69.5,0.83,69.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,6.0,0,,11077.0,
83,,,,第1节,-69.5,0.83,68.5,0.83,155.5,0.83,155.5,0.83,68.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,6.0,0,,11077.0,
84,,,,第1节,-68.5,0.83,68.5,0.83,155.5,0.83,154.5,0.87,-68.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,6.0,0,,11077.0,
85,,,,第1节,-68.5,0.83,68.5,0.83,154.5,0.8,154.5,0.87,154.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,6.0,GD,6.0,0,,11077.0,
86,,,,第1节,-68.5,0.83,68.5,0.83,154.5,0.8,154.5,0.87,154.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,5.0,GD,56.0,0,,21077.0,
87,,,,第1节,-68.5,0.83,68.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,5.0,GD,56.0,0,,21077.0,
88,,,,第1节,-68.5,0.83,68.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,4.0,0.0,1,5.0,GD,52.0,0,,21077.0,
89,,,,第1节,-68.5,0.83,68.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,12.0,0.0,1,5.0,GD,52.0,0,,21075.0,"0.12,0.16"
90,,,,第1节,-68.5,0.83,70.5,0.83,153.5,0.83,153.5,0.83,70.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,12.0,0.0,1,5.0,GD,52.0,0,,11077.0,
91,,,,第1节,-70.5,0.83,70.5,0.83,153.5,0.83,156.5,0.83,-70.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,12.0,0.0,1,5.0,GD,52.0,0,,11077.0,
92,,,,第1节,-70.5,0.83,70.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,9.0,12.0,0.0,1,5.0,GD,52.0,0,,11077.0,
93,,,,第1节,-70.5,0.83,70.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,12.0,4.0,0.0,1,5.0,GD,47.0,0,,11077.0,
94,,,,第1节,-70.5,0.83,70.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,12.0,4.0,0.0,1,5.0,GD,47.0,0,,11077.0,
95,,,,第1节,-70.5,0.83,70.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,12.0,4.0,0.0,1,5.0,GD,22.0,0,,11077.0,
96,,,,第1节,-70.5,0.83,70.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,12.0,4.0,0.0,1,5.0,GD,22.0,0,,11094.0,"0.67,0.28"
97,,,,第1节,-70.5,0.87,70.5,0.8,154.5,0.8,154.5,0.87,154.5,1.0,,,0.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,12.0,4.0,0.0,1,5.0,GD,22.0,0,,21077.0,
