,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
105,44.0,5.0,第4节,13.5,0.83,-13.5,0.83,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,47.0,0,,21077.0
106,44.0,5.0,第4节,13.5,0.77,-13.5,0.91,13.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,47.0,0,,21078.0
107,44.0,5.0,第4节,13.5,0.77,-13.5,0.91,13.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,96,109,1.0,1,2.0,47.0,0,,21079.0
108,44.0,5.0,第4节,13.5,0.77,-13.5,0.91,13.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,109,1.0,1,2.0,47.0,0,,21078.0
109,44.0,5.0,第4节,13.5,0.91,-12.5,0.77,-12.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,109,1.0,1,2.0,47.0,0,,21078.0
110,44.0,5.0,第4节,12.5,0.83,-12.5,0.83,12.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,109,1.0,1,2.0,47.0,0,,21080.0
111,44.0,5.0,第4节,12.5,0.83,-13.5,0.83,-13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,109,1.0,1,2.0,47.0,0,,11077.0
112,44.0,5.0,第4节,13.5,0.83,-13.5,0.83,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,109,1.0,1,2.0,39.0,0,,11077.0
113,44.0,5.0,第4节,13.5,0.83,-13.5,0.83,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,109,1.0,1,2.0,39.0,0,,11074.0
114,44.0,5.0,第4节,13.5,0.83,-14.5,0.83,-14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,109,1.0,1,2.0,39.0,0,,21077.0
115,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,111,1.0,1,2.0,34.0,0,,21077.0
116,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,111,1.0,1,2.0,34.0,0,,21077.0
117,44.0,5.0,第4节,14.5,0.83,-14.5,0.83,14.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,111,1.0,1,2.0,30.0,0,,21077.0
118,44.0,5.0,第4节,14.5,0.83,-12.5,0.83,-12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,111,1.0,1,2.0,30.0,0,,21077.0
119,44.0,5.0,第4节,12.5,0.83,-12.5,0.83,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,97,111,1.0,1,2.0,25.0,0,,21077.0
