,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
139,44.0,5.0,Q4,4th Quarter,11.5,0.8333333333333334,-10.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,7.0,4.0,0.015151515151515152,,74.0,64.0,0,1,3.0,41.0,0.0,20180913154706.0,21077.0,10.5,0.016666666666666666,
140,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-10.5,0.9090909090909091,152.5,1.0,152.5,0.7142857142857143,7.0,4.0,0.013333333333333334,,74.0,64.0,0,1,3.0,32.0,0.0,20180913154715.0,21077.0,10.5,0.016666666666666666,
141,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-9.5,0.8695652173913043,154.5,0.8695652173913043,154.5,0.8,7.0,4.0,0.025,^,74.0,66.0,0,1,3.0,28.0,0.0,20180913154719.0,21074^11077,10.5,0.016666666666666666,^
142,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-9.5,0.8695652173913043,154.5,0.7692307692307693,154.5,0.9090909090909091,7.0,4.0,0.02,,74.0,66.0,0,1,3.0,19.0,0.0,20180913154728.0,11077.0,10.5,0.016666666666666666,
143,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-9.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,7.0,4.0,0.02,,74.0,66.0,0,1,3.0,11.0,0.0,20180913154736.0,11077.0,10.5,0.016666666666666666,
144,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-9.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,7.0,4.0,0.02,,74.0,66.0,0,1,3.0,3.0,0.0,20180913154736.0,11077.0,10.5,0.016666666666666666,
145,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-9.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.016666666666666666,,74.0,66.0,0,1,2.0,55.0,0.0,20180913154752.0,11077.0,10.5,0.016666666666666666,
146,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-9.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.016666666666666666,,74.0,66.0,0,1,2.0,49.0,0.0,20180913154758.0,11077.0,10.5,0.016666666666666666,
147,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-9.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.016666666666666666,,74.0,66.0,0,1,2.0,49.0,1.0,20180913154839.0,11077.0,10.5,0.016666666666666666,
148,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-8.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.030303030303030304,,74.0,66.0,0,1,2.0,48.0,1.0,20180913154840.0,21077.0,10.5,0.016666666666666666,
149,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-8.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.025,,74.0,66.0,0,1,2.0,39.0,1.0,20180913154848.0,21077.0,10.5,0.016666666666666666,
150,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-8.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.025,,74.0,66.0,0,1,2.0,31.0,1.0,20180913154856.0,21077.0,10.5,0.016666666666666666,
151,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-8.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.044444444444444446,^,74.0,68.0,0,1,2.0,28.0,1.0,20180913154900.0,21074^11077,10.5,0.016666666666666666,^
152,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-8.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.044444444444444446,,74.0,68.0,0,1,2.0,27.0,1.0,20180913154901.0,11077.0,10.5,0.016666666666666666,
153,44.0,5.0,Q4,4th Quarter,11.5,0.7692307692307693,-8.5,0.8695652173913043,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.04,,74.0,68.0,0,1,2.0,18.0,1.0,20180913154909.0,11077.0,10.5,0.016666666666666666,
154,44.0,5.0,Q4,4th Quarter,6.5,1.0,-6.5,0.7142857142857143,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.03571428571428571,,74.0,68.0,0,1,2.0,10.0,1.0,20180913154917.0,11077.0,10.5,0.016666666666666666,
155,44.0,5.0,Q4,4th Quarter,6.5,1.0,-6.5,0.7142857142857143,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.02,^,76.0,68.0,0,1,2.0,4.0,1.0,20180913154924.0,11074^21077,10.5,0.016666666666666666,^
156,44.0,5.0,Q4,4th Quarter,6.5,1.0,-6.5,0.7142857142857143,153.5,0.8333333333333334,153.5,0.8333333333333334,5.0,4.0,0.02,,76.0,68.0,0,1,2.0,3.0,1.0,20180913154924.0,21077.0,10.5,0.016666666666666666,
157,44.0,5.0,Q4,4th Quarter,6.5,1.0,-6.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.016666666666666666,,76.0,68.0,0,1,1.0,54.0,1.0,20180913154933.0,21077.0,10.5,0.016666666666666666,
158,44.0,5.0,Q4,4th Quarter,6.5,1.0,-6.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.016666666666666666,,76.0,68.0,0,1,1.0,53.0,0.0,20180913154934.0,21077.0,10.5,0.016666666666666666,
159,44.0,5.0,Q4,4th Quarter,6.5,1.0,-6.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.016666666666666666,^,76.0,68.0,0,1,1.0,54.0,0.0,20180913154954.0,11086^21077,10.5,0.016666666666666666,^
160,44.0,5.0,Q4,4th Quarter,6.5,1.0,-6.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.025,1:2,76.0,68.0,0,1,1.0,54.0,0.0,20180913154955.0,21078.0,10.5,0.016666666666666666,
161,44.0,5.0,Q4,4th Quarter,8.5,1.0,-8.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.015151515151515152,1:2^2:2,76.0,68.0,0,1,1.0,54.0,0.0,20180913155007.0,21080^21078,10.5,0.016666666666666666,^
162,44.0,5.0,Q4,4th Quarter,7.5,1.0,-7.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.016666666666666666,2:2^,76.0,69.0,0,1,1.0,54.0,0.0,20180913155024.0,21079^11077,10.5,0.016666666666666666,^
163,44.0,5.0,Q4,4th Quarter,7.5,1.0,-7.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.016666666666666666,2:2^,76.0,69.0,0,1,1.0,53.0,1.0,20180913155029.0,21079^11077,10.5,0.016666666666666666,^
164,44.0,5.0,Q4,4th Quarter,7.5,1.0,-7.5,0.0,153.5,0.8333333333333334,153.5,0.8333333333333334,4.0,4.0,0.016666666666666666,,76.0,69.0,0,1,1.0,53.0,1.0,20180913155030.0,11077.0,10.5,0.016666666666666666,
